customer_id,signup_date,state,city,customer_segment,acquisition_channel,age,annual_income_inr,gender
100053,2025-05-18 17:33:31,Haryana,Gurugram,Mass,Social,34,823000,Female
100054,2024-04-08 17:43:46,Rajasthan,Udaipur,Mass,Paid Search,18,477000,Female
100055,2022-11-08 21:17:14,Rajasthan,Jaipur,Mid-Market,Email,54,1255000,Female
100056,2022-01-05 07:08:47,Haryana,Gurugram,Premium,Paid Search,41,617000,Female
100057,2022-04-13 17:49:51,Gujarat,Vadodara,Mid-Market,Referral,42,1456000,Female
100058,2024-12-18 12:16:51,Uttar Pradesh,Lucknow,Mid-Market,Paid Search,29,456000,Male
100059,2023-01-08 01:01:56,Karnataka,Bengaluru,Mass,Social,35,536000,Female
100060,2022-03-15 17:47:09,Karnataka,Bengaluru,Mass,Paid Search,29,351000,Female
100061,2023-03-09 14:55:33,Rajasthan,Udaipur,Mass,Social,40,537000,Female
100062,2025-01-19 21:22:39,Gujarat,Vadodara,Premium,Paid Search,39,3467000,Male
100063,2023-06-25 03:19:04,Uttar Pradesh,Kanpur,Mid-Market,Marketplace,18,627000,Female
100064,2025-05-31 10:17:12,Haryana,Gurugram,Mid-Market,Social,47,896000,Female
100065,2023-10-04 04:33:28,West Bengal,Kolkata,Mass,Social,41,521000,Male
100066,2025-02-27 19:05:21,Uttar Pradesh,Noida,Mid-Market,Social,41,650000,Female
100067,2022-09-15 05:14:12,Uttar Pradesh,Kanpur,Mass,Social,27,733000,Male
100068,2023-11-24 08:33:21,Tamil Nadu,Coimbatore,Premium,Marketplace,37,1025000,Female
100069,2023-09-01 12:51:51,Maharashtra,Mumbai,Mass,Social,18,609000,Female
100070,2024-09-09 20:42:29,Gujarat,Vadodara,Mass,Social,40,1122000,Other
100071,2022-06-22 07:46:15,Delhi,New Delhi,Mass,Organic,33,503000,Male
100072,2022-08-09 12:21:43,Telangana,Hyderabad,Mass,Organic,40,660000,Male
100073,2022-10-12 22:23:19,Punjab,Amritsar,Mass,Marketplace,21,593000,Female
100074,2025-04-11 16:00:36,Delhi,New Delhi,Premium,Marketplace,27,833000,Male
100075,2025-02-19 04:41:32,Maharashtra,Pune,Premium,Paid Search,31,803000,Female
100076,2022-01-30 18:59:20,Tamil Nadu,Madurai,Mid-Market,Organic,35,1432000,Male
100077,2023-06-23 05:04:55,Tamil Nadu,Coimbatore,Mid-Market,Marketplace,38,1076000,Male
100078,2023-12-06 05:44:00,Rajasthan,Udaipur,Mass,Email,49,719000,Male
100079,2025-02-12 22:09:38,Uttar Pradesh,Kanpur,Premium,Referral,31,558000,Female
100080,2023-08-12 22:31:09,Haryana,Gurugram,Mass,Paid Search,28,611000,Female
100081,2024-09-12 20:15:02,Rajasthan,Jaipur,Mass,Social,47,535000,Male
100082,2024-10-14 15:15:18,Telangana,Hyderabad,Mass,Email,28,674000,Male
100083,2023-10-16 19:57:32,Punjab,Amritsar,Premium,Organic,41,1259000,Female
100084,2024-08-09 09:46:33,Karnataka,Mangaluru,Mass,Organic,24,1154000,Male
100085,2022-04-01 04:05:16,Maharashtra,Pune,Mass,Email,27,1351000,Male
100086,2023-02-26 15:19:30,Maharashtra,Mumbai,Mass,Social,50,440000,Male
100087,2024-12-25 19:18:15,Kerala,Thiruvananthapuram,Mid-Market,Referral,43,1065000,Female
100088,2022-07-28 19:49:22,Gujarat,Surat,Mid-Market,Organic,39,478000,Male
100089,2023-10-14 14:34:16,Karnataka,Bengaluru,Mid-Market,Referral,45,843000,Male
100090,2024-10-11 06:53:34,Uttar Pradesh,Noida,Mid-Market,Social,37,618000,Female
100091,2023-10-21 20:26:27,Karnataka,Mangaluru,Mid-Market,Paid Search,31,872000,Male
100092,2025-06-02 05:43:52,Rajasthan,Udaipur,Mid-Market,Referral,30,1241000,Female
100093,2024-12-26 12:45:36,Gujarat,Surat,Mid-Market,Email,38,636000,Male
100094,2022-05-05 23:30:58,Telangana,Warangal,Premium,Email,33,518000,Male
100095,2023-11-08 00:15:49,Tamil Nadu,Madurai,Mass,Organic,31,538000,Female
100096,2024-07-24 21:31:23,West Bengal,Kolkata,Mass,Organic,51,1196000,Male
100097,2024-08-13 16:51:02,Telangana,Warangal,Mid-Market,Social,41,817000,Female
100098,2023-10-21 12:46:36,Maharashtra,Mumbai,Mid-Market,Referral,25,456000,Female
100099,2023-05-28 18:49:55,Karnataka,Bengaluru,Premium,Email,50,834000,Female
100100,2023-02-03 09:45:09,Bihar,Patna,Mass,Social,27,998000,Female
100101,2023-03-30 23:25:25,Madhya Pradesh,Indore,Mid-Market,Marketplace,33,2421000,Male
100102,2022-01-19 10:46:43,Rajasthan,Jaipur,Mid-Market,Referral,34,427000,Male
100103,2025-01-02 07:26:44,Tamil Nadu,Madurai,Mid-Market,Paid Search,43,736000,Male
100104,2024-07-13 15:12:31,Bihar,Patna,Mass,Paid Search,42,510000,Female
100105,2023-01-02 16:36:26,Haryana,Gurugram,Premium,Referral,23,1228000,Female
100106,2022-06-18 14:27:51,Kerala,Kochi,Mass,Referral,40,537000,Male
100107,2023-10-31 20:11:11,Gujarat,Vadodara,Mass,Paid Search,27,546000,Female
100108,2024-12-22 11:48:01,Tamil Nadu,Coimbatore,Mid-Market,Paid Search,37,828000,Male
100109,2025-06-24 05:26:39,Maharashtra,Mumbai,Mass,Organic,22,574000,Male
100110,2022-12-04 21:10:33,Madhya Pradesh,Bhopal,Mass,Organic,42,1287000,Male
100111,2023-07-14 17:29:45,Gujarat,Vadodara,Premium,Organic,26,1765000,Male
100112,2024-01-27 10:09:44,Delhi,New Delhi,Mid-Market,Referral,40,421000,Female
100113,2024-01-30 06:50:50,Tamil Nadu,Coimbatore,Premium,Social,33,1002000,Male
100114,2022-12-29 23:25:40,Uttar Pradesh,Lucknow,Mass,Email,43,1170000,Male
100115,2024-11-07 23:21:12,Karnataka,Mysuru,Mass,Organic,35,547000,Female
100116,2024-06-15 18:51:20,Punjab,Amritsar,Mass,Email,37,961000,Female
100117,2024-11-27 12:03:34,Kerala,Thiruvananthapuram,Mass,Paid Search,27,1219000,Male
100118,2022-05-30 14:25:37,Kerala,Thiruvananthapuram,Mass,Marketplace,35,508000,Female
100119,2024-05-12 12:47:53,Gujarat,Vadodara,Premium,Organic,18,510000,Male
100120,2023-03-15 00:49:52,West Bengal,Kolkata,Mass,Paid Search,42,632000,Female
100121,2024-09-01 17:16:09,Uttar Pradesh,Kanpur,Mid-Market,Organic,55,695000,Female
100122,2023-10-12 22:35:00,West Bengal,Kolkata,Mid-Market,Paid Search,36,559000,Female
100123,2023-10-25 07:11:31,Maharashtra,Mumbai,Mass,Paid Search,44,1716000,Male
100124,2024-01-18 15:05:17,Telangana,Warangal,Mass,Paid Search,26,774000,Male
100125,2022-10-11 08:10:59,Maharashtra,Pune,Mid-Market,Email,41,548000,Female
100126,2024-01-11 02:54:05,Uttar Pradesh,Kanpur,Mass,Email,38,936000,Female
100127,2025-01-30 02:51:19,Tamil Nadu,Coimbatore,Mass,Organic,40,544000,Male
100128,2022-04-12 09:19:33,Karnataka,Mangaluru,Mid-Market,Paid Search,38,490000,Male
100129,2022-08-02 01:24:54,Karnataka,Mysuru,Mass,Paid Search,34,820000,Female
100130,2022-02-13 03:10:35,Uttar Pradesh,Lucknow,Mass,Email,32,358000,Male
100131,2023-09-09 07:45:01,Karnataka,Mysuru,Mid-Market,Social,29,640000,Female
100132,2022-10-30 21:26:51,Andhra Pradesh,Vijayawada,Mass,Email,50,439000,Male
100133,2024-01-25 04:24:19,Uttar Pradesh,Kanpur,Mid-Market,Paid Search,36,859000,Male
100134,2022-02-18 03:37:24,Tamil Nadu,Coimbatore,Mass,Social,32,646000,Female
100135,2022-05-17 21:30:27,West Bengal,Kolkata,Mid-Market,Organic,47,648000,Female
100136,2022-10-09 17:03:02,Maharashtra,Mumbai,Mid-Market,Organic,41,373000,Male
100137,2024-04-19 22:05:38,Andhra Pradesh,Visakhapatnam,Premium,Social,41,1159000,Female
100138,2022-03-17 16:09:47,Gujarat,Ahmedabad,Mid-Market,Social,37,614000,Female
100139,2023-11-03 18:02:27,Haryana,Gurugram,Mid-Market,Email,50,611000,Female
100140,2023-11-05 10:05:52,Maharashtra,Nagpur,Mid-Market,Referral,30,324000,Female
100141,2023-02-10 10:53:10,Gujarat,Surat,Mass,Organic,28,1229000,Male
100142,2022-05-14 12:13:21,Uttar Pradesh,Noida,Mass,Social,25,612000,Male
100143,2024-06-29 14:08:14,Andhra Pradesh,Vijayawada,Mid-Market,Organic,36,604000,Male
100144,2023-06-15 06:21:02,Uttar Pradesh,Noida,Mid-Market,Referral,39,1415000,Male
100145,2024-02-03 13:23:53,Gujarat,Vadodara,Premium,Organic,26,480000,Female
100146,2024-09-09 17:32:00,Tamil Nadu,Coimbatore,Mid-Market,Paid Search,41,722000,Female
100147,2022-01-17 01:08:17,Tamil Nadu,Chennai,Mass,Organic,37,1071000,Male
100148,2024-09-13 08:20:22,Uttar Pradesh,Kanpur,Mass,Referral,48,751000,Male
100149,2022-04-21 18:32:09,Gujarat,Vadodara,Mass,Referral,51,694000,Female
100150,2023-12-19 21:52:22,Maharashtra,Nagpur,Premium,Organic,28,850000,Male
100151,2022-04-26 07:00:29,Punjab,Ludhiana,Mass,Organic,29,847000,Male
100152,2022-02-09 07:22:39,Madhya Pradesh,Indore,Mid-Market,Paid Search,23,639000,Male
100153,2023-06-12 19:17:49,Karnataka,Bengaluru,Mass,Email,32,912000,Female
100154,2023-11-17 08:41:25,Uttar Pradesh,Kanpur,Premium,Email,18,1099000,Male
100155,2023-02-01 18:08:16,Karnataka,Mangaluru,Mid-Market,Social,23,626000,Female
100156,2022-11-19 15:31:32,Rajasthan,Jaipur,Premium,Marketplace,42,977000,Female
100157,2022-08-19 22:38:50,Tamil Nadu,Chennai,Mid-Market,Organic,41,1863000,Female
100158,2023-12-27 20:31:20,Rajasthan,Udaipur,Mass,Organic,43,1025000,Female
100159,2023-05-26 21:25:19,Kerala,Kochi,Mid-Market,Referral,37,684000,Male
100160,2025-03-06 00:59:05,Haryana,Faridabad,Mass,Email,39,458000,Male
100161,2023-07-10 09:58:53,Karnataka,Bengaluru,Mass,Organic,44,565000,Male
100162,2024-02-04 18:07:09,Madhya Pradesh,Bhopal,Mass,Marketplace,30,490000,Male
100163,2025-05-07 09:40:35,Delhi,New Delhi,Mass,Organic,40,593000,Male
100164,2025-04-16 03:02:27,Maharashtra,Mumbai,Mid-Market,Paid Search,43,1262000,Female
100165,2023-09-29 14:48:22,Uttar Pradesh,Kanpur,Mid-Market,Marketplace,37,1229000,Male
100166,2022-09-24 09:32:47,Telangana,Hyderabad,Premium,Social,34,1643000,Male
100167,2023-05-20 21:46:34,Punjab,Ludhiana,Mid-Market,Marketplace,45,499000,Female
100168,2022-12-09 15:33:25,Haryana,Gurugram,Mid-Market,Paid Search,18,651000,Female
100169,2023-09-14 19:33:57,Tamil Nadu,Chennai,Mid-Market,Referral,18,325000,Male
100170,2023-05-30 07:36:49,Andhra Pradesh,Visakhapatnam,Mass,Marketplace,31,1096000,Male
100171,2022-04-11 00:43:52,Tamil Nadu,Coimbatore,Mass,Organic,18,1600000,Male
100172,2025-05-28 07:08:12,Uttar Pradesh,Kanpur,Premium,Organic,52,444000,Male
100173,2022-01-14 09:49:53,Delhi,New Delhi,Mass,Organic,52,1787000,Other
100174,2025-02-09 00:33:21,Andhra Pradesh,Vijayawada,Mass,Paid Search,36,803000,Male
100175,2025-03-30 23:19:45,Karnataka,Bengaluru,Mid-Market,Organic,18,1025000,Female
100176,2025-05-10 16:59:44,Maharashtra,Pune,Mass,Social,23,420000,Male
100177,2023-07-31 20:42:13,Gujarat,Vadodara,Mass,Paid Search,25,942000,Male
100178,2024-09-14 08:48:24,Bihar,Patna,Mass,Email,32,1232000,Female
100179,2025-04-13 22:05:12,Madhya Pradesh,Indore,Mass,Email,18,514000,Male
100180,2024-12-06 02:37:50,Kerala,Thiruvananthapuram,Mass,Social,49,863000,Male
100181,2025-01-08 07:55:58,Madhya Pradesh,Indore,Mass,Email,31,810000,Male
100182,2023-09-18 11:08:51,Madhya Pradesh,Indore,Premium,Email,30,723000,Male
100183,2024-08-07 23:23:53,Uttar Pradesh,Lucknow,Mid-Market,Social,38,1337000,Male
100184,2022-09-27 09:57:04,Tamil Nadu,Chennai,Mass,Paid Search,32,712000,Female
100185,2025-03-18 02:04:40,Haryana,Gurugram,Mass,Email,19,1018000,Female
100186,2023-08-29 20:59:28,Rajasthan,Jaipur,Premium,Paid Search,47,1166000,Female
100187,2022-12-04 03:22:30,Telangana,Warangal,Mid-Market,Paid Search,27,312000,Male
100188,2023-01-14 23:05:14,Maharashtra,Nagpur,Mid-Market,Referral,30,690000,Male
100189,2024-12-29 14:13:53,Kerala,Thiruvananthapuram,Mid-Market,Organic,45,555000,Female
100190,2024-05-18 08:01:21,Tamil Nadu,Madurai,Mass,Organic,20,593000,Female
100191,2022-12-20 00:48:06,Andhra Pradesh,Visakhapatnam,Mass,Social,29,516000,Male
100192,2024-02-05 14:44:26,Delhi,New Delhi,Mass,Organic,46,567000,Male
100193,2023-11-16 20:17:14,Karnataka,Bengaluru,Mass,Email,35,310000,Female
100194,2024-03-01 00:51:21,Punjab,Amritsar,Premium,Email,23,532000,Female
100195,2022-10-17 12:22:57,Karnataka,Bengaluru,Mass,Social,30,419000,Female
100196,2025-03-03 03:55:23,Karnataka,Mysuru,Mass,Organic,27,495000,Male
100197,2025-02-04 09:08:40,West Bengal,Kolkata,Premium,Paid Search,18,965000,Female
100198,2025-04-01 05:27:01,Madhya Pradesh,Indore,Premium,Social,18,1269000,Male
100199,2023-09-27 19:56:56,Delhi,New Delhi,Mass,Organic,32,860000,Male
100200,2022-08-14 23:34:39,Tamil Nadu,Coimbatore,Mass,Paid Search,18,876000,Female
100201,2023-12-10 02:07:19,Haryana,Faridabad,Mid-Market,Organic,24,488000,Female
100202,2022-04-14 03:17:31,Bihar,Patna,Mass,Social,20,496000,Female
100203,2024-06-20 10:37:58,Uttar Pradesh,Kanpur,Premium,Email,31,688000,Female
100204,2022-12-15 03:56:41,Karnataka,Bengaluru,Mass,Email,39,689000,Male
100205,2022-09-10 18:43:18,Maharashtra,Pune,Mass,Organic,28,922000,Male
100206,2024-10-31 14:25:46,Delhi,New Delhi,Mid-Market,Organic,32,856000,Female
100207,2024-04-21 18:32:35,Karnataka,Mysuru,Mid-Market,Referral,44,847000,Female
100208,2025-01-20 00:27:44,Rajasthan,Jaipur,Premium,Organic,23,1612000,Female
100209,2024-04-25 01:38:43,Karnataka,Mysuru,Mid-Market,Social,34,706000,Female
100210,2022-12-11 13:04:24,Uttar Pradesh,Lucknow,Mass,Referral,45,943000,Female
100211,2023-05-25 19:03:45,Rajasthan,Udaipur,Mid-Market,Paid Search,50,1410000,Female
100212,2023-08-08 17:29:35,Uttar Pradesh,Lucknow,Mass,Paid Search,46,799000,Female
100213,2025-03-11 00:59:50,Delhi,New Delhi,Mass,Paid Search,26,658000,Female
100214,2023-12-09 07:58:55,Haryana,Gurugram,Mass,Paid Search,26,415000,Male
100215,2024-11-13 03:57:24,Kerala,Kochi,Mass,Paid Search,41,404000,Male
100216,2022-02-10 14:38:32,Kerala,Kochi,Mass,Marketplace,43,1004000,Female
100217,2023-10-11 10:52:58,Karnataka,Bengaluru,Mid-Market,Email,42,780000,Male
100218,2022-04-19 17:10:47,Karnataka,Mysuru,Mass,Social,18,1001000,Male
100219,2023-05-02 02:40:48,Andhra Pradesh,Vijayawada,Mid-Market,Paid Search,18,649000,Male
100220,2023-12-05 02:07:29,Telangana,Warangal,Mass,Paid Search,45,520000,Male
100221,2024-12-01 19:09:40,Tamil Nadu,Madurai,Mid-Market,Referral,37,437000,Male
100222,2022-12-21 09:36:03,Gujarat,Surat,Mid-Market,Social,35,770000,Female
100223,2022-11-09 00:43:28,Rajasthan,Jaipur,Mass,Organic,30,560000,Male
100224,2024-12-23 03:22:13,Andhra Pradesh,Visakhapatnam,Premium,Referral,25,550000,Female
100225,2023-11-25 20:43:15,Tamil Nadu,Chennai,Mid-Market,Organic,32,1728000,Female
100226,2024-07-17 01:12:26,Andhra Pradesh,Visakhapatnam,Premium,Email,26,1221000,Male
100227,2025-04-04 17:38:12,Maharashtra,Mumbai,Premium,Paid Search,31,559000,Female
100228,2022-03-02 03:21:09,Uttar Pradesh,Kanpur,Mass,Organic,56,1118000,Male
100229,2024-02-10 22:09:48,West Bengal,Kolkata,Premium,Social,36,571000,Female
100230,2025-04-02 17:16:52,Karnataka,Mangaluru,Mid-Market,Marketplace,27,997000,Female
100231,2023-07-17 11:31:29,Karnataka,Mysuru,Mass,Referral,28,998000,Male
100232,2023-07-19 10:42:03,Telangana,Hyderabad,Mid-Market,Paid Search,33,253000,Female
100233,2022-08-31 21:53:23,Bihar,Patna,Mass,Social,18,654000,Male
100234,2023-11-24 18:59:57,West Bengal,Kolkata,Mid-Market,Referral,39,781000,Male
100235,2025-04-15 21:15:05,Andhra Pradesh,Vijayawada,Mass,Marketplace,51,543000,Male
100236,2022-01-05 13:00:43,Haryana,Faridabad,Mid-Market,Social,39,576000,Male
100237,2024-07-30 12:04:53,Gujarat,Surat,Premium,Organic,28,636000,Male
100238,2025-05-06 11:40:42,Haryana,Faridabad,Mass,Paid Search,28,638000,Male
100239,2025-03-02 10:44:06,Maharashtra,Nagpur,Mid-Market,Social,32,444000,Female
100240,2024-03-08 23:11:13,Karnataka,Mangaluru,Mass,Organic,35,645000,Other
100241,2024-11-28 12:24:58,Punjab,Amritsar,Premium,Email,33,445000,Male
100242,2022-02-23 07:13:28,Haryana,Gurugram,Mass,Organic,37,795000,Male
100243,2022-04-10 08:29:34,Delhi,New Delhi,Mass,Organic,31,387000,Male
100244,2024-06-10 09:45:34,Uttar Pradesh,Lucknow,Mid-Market,Organic,44,397000,Female
100245,2022-11-27 01:30:46,West Bengal,Kolkata,Mid-Market,Organic,18,1454000,Female
100246,2024-06-25 01:09:48,Madhya Pradesh,Indore,Mass,Email,22,1249000,Female
100247,2024-08-04 20:57:40,West Bengal,Kolkata,Mid-Market,Referral,44,1279000,Male
100248,2024-05-03 01:02:52,Telangana,Hyderabad,Mid-Market,Organic,30,872000,Male
100249,2025-02-10 13:57:35,Telangana,Warangal,Mass,Email,34,986000,Female
100250,2022-10-04 22:28:09,Gujarat,Vadodara,Mass,Referral,29,2211000,Male
100251,2024-10-21 13:10:58,Rajasthan,Jaipur,Mid-Market,Social,20,299000,Female
100252,2024-10-19 20:01:57,Madhya Pradesh,Bhopal,Mid-Market,Organic,37,862000,Male
100253,2023-02-04 21:41:35,Gujarat,Ahmedabad,Mid-Market,Email,35,1352000,Male
100254,2022-09-16 17:27:30,Delhi,New Delhi,Mid-Market,Social,62,425000,Male
100255,2024-03-04 01:46:29,Delhi,New Delhi,Mid-Market,Organic,35,582000,Male
100256,2025-02-07 23:56:07,Kerala,Thiruvananthapuram,Mass,Social,47,458000,Male
100257,2024-04-24 14:17:12,Punjab,Amritsar,Mass,Organic,33,422000,Male
100258,2022-06-01 01:04:04,Karnataka,Mysuru,Mid-Market,Organic,47,325000,Female
100259,2023-07-13 10:46:10,Maharashtra,Pune,Mass,Organic,27,815000,Female
100260,2023-05-20 18:19:10,West Bengal,Kolkata,Premium,Paid Search,22,1120000,Female
100261,2024-01-17 17:24:42,Karnataka,Mangaluru,Premium,Marketplace,21,835000,Female
100262,2024-12-11 01:16:51,Punjab,Ludhiana,Mass,Referral,27,615000,Male
100263,2023-11-27 13:31:03,Tamil Nadu,Chennai,Mass,Referral,29,699000,Female
100264,2022-07-01 06:54:28,Karnataka,Mysuru,Mass,Organic,23,663000,Male
100265,2022-09-06 04:43:35,Andhra Pradesh,Vijayawada,Mass,Organic,42,1350000,Male
100266,2022-08-07 17:09:21,Karnataka,Mangaluru,Premium,Paid Search,18,574000,Male
100267,2023-10-06 17:48:44,Tamil Nadu,Coimbatore,Mass,Email,40,992000,Female
100268,2022-07-16 05:51:42,Karnataka,Bengaluru,Mass,Referral,31,3445000,Female
100269,2022-08-13 10:25:20,Karnataka,Bengaluru,Mid-Market,Organic,50,761000,Female
100270,2022-07-12 05:39:57,Maharashtra,Nagpur,Mid-Market,Organic,32,340000,Male
100271,2024-05-28 20:12:07,Maharashtra,Mumbai,Mid-Market,Organic,32,2075000,Female
100272,2022-12-26 21:25:31,Karnataka,Mysuru,Mid-Market,Organic,45,423000,Male
100273,2025-02-25 17:29:48,Maharashtra,Mumbai,Mid-Market,Referral,23,1152000,Male
100274,2023-09-23 17:36:24,West Bengal,Kolkata,Mid-Market,Organic,33,1029000,Female
100275,2024-05-13 01:58:20,Rajasthan,Jaipur,Mass,Organic,43,594000,Female
100276,2023-11-06 16:37:52,Telangana,Hyderabad,Mid-Market,Social,35,451000,Male
100277,2025-01-25 17:39:53,Tamil Nadu,Coimbatore,Mid-Market,Organic,45,1402000,Male
100278,2022-06-13 20:08:57,Uttar Pradesh,Kanpur,Mass,Organic,28,632000,Female
100279,2024-07-18 06:14:50,Madhya Pradesh,Indore,Premium,Email,28,384000,Female
100280,2024-01-09 12:15:51,Punjab,Amritsar,Mid-Market,Marketplace,41,1074000,Male
100281,2023-07-13 15:10:28,Maharashtra,Pune,Mass,Email,26,874000,Male
100282,2024-06-11 03:18:20,Karnataka,Mangaluru,Premium,Organic,27,318000,Male
100283,2023-11-19 06:37:39,Delhi,New Delhi,Mid-Market,Email,34,1050000,Female
100284,2024-03-11 06:49:11,Delhi,New Delhi,Premium,Social,39,793000,Male
100285,2023-11-12 01:53:41,Uttar Pradesh,Noida,Mid-Market,Organic,43,1008000,Male
100286,2022-06-04 00:22:00,Telangana,Warangal,Mid-Market,Paid Search,34,2103000,Female
100287,2023-05-17 05:09:04,Maharashtra,Pune,Mass,Organic,40,448000,Female
100288,2025-05-24 07:59:34,Telangana,Warangal,Mass,Paid Search,49,785000,Female
100289,2022-04-29 15:52:02,Uttar Pradesh,Lucknow,Mid-Market,Organic,44,688000,Male
100290,2022-10-21 23:15:31,Karnataka,Mangaluru,Mid-Market,Organic,32,997000,Female
100291,2024-06-15 05:14:46,Punjab,Ludhiana,Premium,Organic,39,534000,Male
100292,2022-07-11 04:42:05,Maharashtra,Mumbai,Mass,Organic,52,840000,Female
100293,2022-03-02 05:24:38,Andhra Pradesh,Vijayawada,Mid-Market,Paid Search,41,1322000,Male
100294,2024-09-04 03:41:59,Maharashtra,Mumbai,Mass,Email,32,1683000,Female
100295,2022-09-18 13:39:14,Punjab,Ludhiana,Mid-Market,Organic,55,880000,Male
100296,2022-10-09 12:55:25,Madhya Pradesh,Bhopal,Mass,Marketplace,48,411000,Male
100297,2023-08-03 14:23:19,Bihar,Patna,Mid-Market,Marketplace,46,1161000,Male
100298,2024-12-15 02:51:49,Haryana,Faridabad,Mid-Market,Social,30,337000,Male
100299,2025-06-14 12:11:12,Haryana,Gurugram,Premium,Paid Search,26,288000,Male
