product_id,product_name,category,subcategory,list_price_inr,gross_margin_rate,weight_kg,abc_class
2112,Nova Footwear 02,Fashion,Footwear,1166,0.469,3.36,C
2113,UrbanPeak Footwear 03,Fashion,Footwear,2868,0.339,2.43,B
2114,Aurelia Footwear 04,Fashion,Footwear,1327,0.238,2.15,C
2115,Vertex Footwear 05,Fashion,Footwear,1954,0.598,3.18,B
2116,Luma Footwear 06,Fashion,Footwear,1565,0.537,2.55,B
2117,Nexora Footwear 07,Fashion,Footwear,1041,0.382,1.17,A
2118,HomeCraft Footwear 08,Fashion,Footwear,6226,0.394,3.51,C
2119,Stride Footwear 09,Fashion,Footwear,1003,0.227,1.93,C
2120,Nova Footwear 10,Fashion,Footwear,3452,0.564,1.02,A
2121,UrbanPeak Footwear 11,Fashion,Footwear,2145,0.319,3.33,A
2122,Aurelia Accessories 01,Fashion,Accessories,3511,0.19,1.81,A
2123,Vertex Accessories 02,Fashion,Accessories,1098,0.618,2.79,B
2124,Luma Accessories 03,Fashion,Accessories,2602,0.227,3.32,A
2125,Nexora Accessories 04,Fashion,Accessories,1516,0.328,3.19,C
2126,HomeCraft Accessories 05,Fashion,Accessories,1914,0.281,1.88,B
2127,Stride Accessories 06,Fashion,Accessories,2962,0.286,1.78,C
2128,Nova Accessories 07,Fashion,Accessories,1404,0.381,3.01,C
2129,UrbanPeak Accessories 08,Fashion,Accessories,1275,0.612,1.47,A
2130,Aurelia Accessories 09,Fashion,Accessories,5323,0.381,1.67,B
2131,Vertex Accessories 10,Fashion,Accessories,1527,0.202,2.62,B
2132,Luma Accessories 11,Fashion,Accessories,630,0.535,3.59,A
2133,Nexora Skincare 01,Beauty,Skincare,1744,0.25,1.16,C
2134,HomeCraft Skincare 02,Beauty,Skincare,1144,0.538,2.74,C
2135,Stride Skincare 03,Beauty,Skincare,3061,0.409,2.35,B
2136,Nova Skincare 04,Beauty,Skincare,942,0.455,1.15,B
2137,UrbanPeak Skincare 05,Beauty,Skincare,1789,0.532,3.11,B
2138,Aurelia Skincare 06,Beauty,Skincare,1373,0.274,1.71,C
2139,Vertex Skincare 07,Beauty,Skincare,3865,0.451,2.38,C
2140,Luma Skincare 08,Beauty,Skincare,2611,0.362,1.86,A
2141,Nexora Skincare 09,Beauty,Skincare,2149,0.549,3.85,C
2142,HomeCraft Skincare 10,Beauty,Skincare,1451,0.331,2.48,B
2143,Stride Skincare 11,Beauty,Skincare,2721,0.527,3.33,A
2144,Nova Haircare 01,Beauty,Haircare,1038,0.384,2.09,B
2145,UrbanPeak Haircare 02,Beauty,Haircare,2143,0.444,1.15,B
2146,Aurelia Haircare 03,Beauty,Haircare,6066,0.278,3.82,B
2147,Vertex Haircare 04,Beauty,Haircare,5597,0.186,3.55,B
2148,Luma Haircare 05,Beauty,Haircare,783,0.493,2.23,A
2149,Nexora Haircare 06,Beauty,Haircare,1944,0.6,3.42,A
2150,HomeCraft Haircare 07,Beauty,Haircare,958,0.51,3.81,B
2151,Stride Haircare 08,Beauty,Haircare,881,0.543,2.43,B
2152,Nova Haircare 09,Beauty,Haircare,2000,0.382,3.0,B
2153,UrbanPeak Haircare 10,Beauty,Haircare,1414,0.477,2.0,B
2154,Aurelia Haircare 11,Beauty,Haircare,5671,0.547,1.16,B
2155,Vertex Makeup 01,Beauty,Makeup,5431,0.29,2.39,C
2156,Luma Makeup 02,Beauty,Makeup,507,0.254,3.15,B
2157,Nexora Makeup 03,Beauty,Makeup,1086,0.538,1.19,B
2158,HomeCraft Makeup 04,Beauty,Makeup,1929,0.599,2.63,B
2159,Stride Makeup 05,Beauty,Makeup,2441,0.256,2.47,B
2160,Nova Makeup 06,Beauty,Makeup,3051,0.524,2.7,C
2161,UrbanPeak Makeup 07,Beauty,Makeup,629,0.27,2.9,B
2162,Aurelia Makeup 08,Beauty,Makeup,6328,0.297,2.2,B
2163,Vertex Makeup 09,Beauty,Makeup,3454,0.218,1.18,C
2164,Luma Makeup 10,Beauty,Makeup,2329,0.413,2.03,B
2165,Nexora Makeup 11,Beauty,Makeup,1075,0.353,2.49,B
2166,HomeCraft Personal Care 01,Beauty,Personal Care,2576,0.536,1.94,C
2167,Stride Personal Care 02,Beauty,Personal Care,2778,0.383,2.13,C
2168,Nova Personal Care 03,Beauty,Personal Care,1101,0.185,3.17,A
2169,UrbanPeak Personal Care 04,Beauty,Personal Care,2980,0.497,3.81,A
2170,Aurelia Personal Care 05,Beauty,Personal Care,7374,0.287,2.4,B
2171,Vertex Personal Care 06,Beauty,Personal Care,3823,0.466,2.11,B
2172,Luma Personal Care 07,Beauty,Personal Care,3717,0.424,1.3,B
2173,Nexora Personal Care 08,Beauty,Personal Care,5251,0.257,1.63,C
2174,HomeCraft Personal Care 09,Beauty,Personal Care,382,0.568,1.43,B
2175,Stride Personal Care 10,Beauty,Personal Care,5787,0.329,1.6,C
2176,Nova Personal Care 11,Beauty,Personal Care,3914,0.453,3.42,B
2177,UrbanPeak Fitness 01,Sports,Fitness,1387,0.282,2.69,A
2178,Aurelia Fitness 02,Sports,Fitness,3415,0.297,3.79,C
2179,Vertex Fitness 03,Sports,Fitness,2240,0.314,3.66,A
2180,Luma Fitness 04,Sports,Fitness,1931,0.465,1.79,B
2181,Nexora Fitness 05,Sports,Fitness,1797,0.47,3.05,B
2182,HomeCraft Fitness 06,Sports,Fitness,1330,0.248,2.86,C
2183,Stride Fitness 07,Sports,Fitness,1910,0.414,1.11,A
2184,Nova Fitness 08,Sports,Fitness,969,0.6,3.01,B
2185,UrbanPeak Fitness 09,Sports,Fitness,938,0.372,2.47,A
2186,Aurelia Fitness 10,Sports,Fitness,1276,0.468,3.87,C
2187,Vertex Fitness 11,Sports,Fitness,1663,0.308,2.65,A
2188,Luma Outdoor 01,Sports,Outdoor,717,0.267,3.06,B
2189,Nexora Outdoor 02,Sports,Outdoor,6420,0.573,1.73,B
2190,HomeCraft Outdoor 03,Sports,Outdoor,2833,0.371,3.76,C
2191,Stride Outdoor 04,Sports,Outdoor,7148,0.408,2.97,B
2192,Nova Outdoor 05,Sports,Outdoor,5723,0.412,2.25,B
2193,UrbanPeak Outdoor 06,Sports,Outdoor,2396,0.226,2.17,C
2194,Aurelia Outdoor 07,Sports,Outdoor,3959,0.189,1.74,B
2195,Vertex Outdoor 08,Sports,Outdoor,1592,0.399,1.24,B
2196,Luma Outdoor 09,Sports,Outdoor,1035,0.533,2.46,A
2197,Nexora Outdoor 10,Sports,Outdoor,1716,0.51,2.44,A
2198,HomeCraft Outdoor 11,Sports,Outdoor,1159,0.571,2.68,C
2199,Stride Sportswear 01,Sports,Sportswear,1241,0.281,1.24,B
2200,Nova Sportswear 02,Sports,Sportswear,295,0.585,1.42,B
2201,UrbanPeak Sportswear 03,Sports,Sportswear,4756,0.351,1.86,B
2202,Aurelia Sportswear 04,Sports,Sportswear,2285,0.461,2.6,B
2203,Vertex Sportswear 05,Sports,Sportswear,989,0.242,2.84,B
2204,Luma Sportswear 06,Sports,Sportswear,1848,0.599,1.49,B
2205,Nexora Sportswear 07,Sports,Sportswear,3311,0.18,1.31,B
2206,HomeCraft Sportswear 08,Sports,Sportswear,3174,0.219,3.25,C
2207,Stride Sportswear 09,Sports,Sportswear,1139,0.463,2.99,B
2208,Nova Sportswear 10,Sports,Sportswear,2511,0.575,1.38,A
2209,UrbanPeak Sportswear 11,Sports,Sportswear,4635,0.378,1.77,A
2210,Aurelia Equipment 01,Sports,Equipment,908,0.227,2.59,C
2211,Vertex Equipment 02,Sports,Equipment,2137,0.478,3.81,B
2212,Luma Equipment 03,Sports,Equipment,1667,0.278,1.38,A
2213,Nexora Equipment 04,Sports,Equipment,877,0.458,2.72,B
2214,HomeCraft Equipment 05,Sports,Equipment,1799,0.395,2.12,C
2215,Stride Equipment 06,Sports,Equipment,625,0.522,1.33,B
2216,Nova Equipment 07,Sports,Equipment,1361,0.58,3.17,C
2217,UrbanPeak Equipment 08,Sports,Equipment,843,0.594,2.21,B
2218,Aurelia Equipment 09,Sports,Equipment,1052,0.28,1.98,B
2219,Vertex Equipment 10,Sports,Equipment,726,0.24,3.68,B
2220,Luma Equipment 11,Sports,Equipment,1130,0.441,3.34,C
