cohort_month,order_month,cohort_age_months,customers,revenue
2024-03,2024-11,8,530,1673796.144
2024-03,2024-12,9,548,1782460.662
2024-03,2025-01,10,541,1771504.95
2024-03,2025-02,11,475,1497433.367
2024-03,2025-03,12,527,1781442.267
2024-03,2025-04,13,549,1768685.583
2024-03,2025-05,14,561,1829902.027
2024-03,2025-06,15,491,1521238.724
2024-03,2025-07,16,532,1765247.007
2024-03,2025-08,17,549,1818982.709
2024-03,2025-09,18,544,1728961.245
2024-03,2025-10,19,506,1582230.154
2024-03,2025-11,20,511,1577783.878
2024-03,2025-12,21,537,1902595.309
2024-04,2024-04,0,2838,8923827.847
2024-04,2024-05,1,459,1526398.03
2024-04,2024-06,2,464,1525248.79
2024-04,2024-07,3,427,1249825.767
2024-04,2024-08,4,440,1410212.694
2024-04,2024-09,5,445,1388663.036
2024-04,2024-10,6,472,1421361.537
2024-04,2024-11,7,429,1466835.717
2024-04,2024-12,8,446,1426737.868
2024-04,2025-01,9,443,1470911.783
2024-04,2025-02,10,377,1283155.863
2024-04,2025-03,11,438,1493672.435
2024-04,2025-04,12,452,1391017.836
2024-04,2025-05,13,460,1472279.01
2024-04,2025-06,14,408,1396962.4239999999
2024-04,2025-07,15,479,1524488.978
2024-04,2025-08,16,470,1442288.062
2024-04,2025-09,17,460,1477106.066
2024-04,2025-10,18,429,1377084.644
2024-04,2025-11,19,437,1474616.27
2024-04,2025-12,20,455,1503260.543
2024-05,2024-05,0,2404,7608974.942
2024-05,2024-06,1,390,1270585.9949999999
2024-05,2024-07,2,401,1204629.01
2024-05,2024-08,3,381,1192541.382
2024-05,2024-09,4,377,1260447.504
2024-05,2024-10,5,370,1294320.592
2024-05,2024-11,6,351,1133057.158
2024-05,2024-12,7,365,1078421.133
2024-05,2025-01,8,408,1291577.825
2024-05,2025-02,9,370,1175289.649
2024-05,2025-03,10,401,1350724.688
2024-05,2025-04,11,396,1166445.425
2024-05,2025-05,12,368,1190716.108
2024-05,2025-06,13,375,1127242.489
2024-05,2025-07,14,385,1238802.312
2024-05,2025-08,15,375,1287929.655
2024-05,2025-09,16,386,1232354.277
2024-05,2025-10,17,380,1130878.463
2024-05,2025-11,18,390,1370642.986
2024-05,2025-12,19,370,1168182.303
2024-06,2024-06,0,1983,6421042.992
2024-06,2024-07,1,338,1050995.157
2024-06,2024-08,2,317,983034.609
2024-06,2024-09,3,317,959073.855
2024-06,2024-10,4,333,1164221.714
2024-06,2024-11,5,256,876695.246
2024-06,2024-12,6,329,1130159.499
2024-06,2025-01,7,341,1196888.081
2024-06,2025-02,8,282,914932.36
2024-06,2025-03,9,348,1229039.576
2024-06,2025-04,10,295,854286.682
2024-06,2025-05,11,322,945817.843
2024-06,2025-06,12,314,1040104.517
2024-06,2025-07,13,298,925052.663
2024-06,2025-08,14,297,970732.252
2024-06,2025-09,15,317,1061818.192
2024-06,2025-10,16,319,996674.668
2024-06,2025-11,17,305,989719.414
2024-06,2025-12,18,308,961556.47
2024-07,2024-07,0,1633,5447040.427
2024-07,2024-08,1,265,889848.56
2024-07,2024-09,2,237,872223.2
2024-07,2024-10,3,240,808524.175
2024-07,2024-11,4,237,786056.505
2024-07,2024-12,5,243,782073.583
2024-07,2025-01,6,264,896707.879
2024-07,2025-02,7,252,840256.824
2024-07,2025-03,8,270,886856.822
2024-07,2025-04,9,254,823243.11
2024-07,2025-05,10,239,778865.046
2024-07,2025-06,11,258,774347.86
2024-07,2025-07,12,246,704597.805
2024-07,2025-08,13,268,845241.786
2024-07,2025-09,14,228,722240.978
2024-07,2025-10,15,251,917483.479
2024-07,2025-11,16,261,829378.739
2024-07,2025-12,17,261,812331.842
2024-08,2024-08,0,1480,4580540.438
2024-08,2024-09,1,230,756373.133
2024-08,2024-10,2,232,755984.392
2024-08,2024-11,3,228,728439.794
2024-08,2024-12,4,241,732001.038
2024-08,2025-01,5,221,678751.877
2024-08,2025-02,6,230,687432.348
2024-08,2025-03,7,245,634346.737
2024-08,2025-04,8,217,691369.743
2024-08,2025-05,9,249,855181.982
2024-08,2025-06,10,224,766318.324
2024-08,2025-07,11,217,680922.036
2024-08,2025-08,12,226,732782.4
2024-08,2025-09,13,235,843636.769
2024-08,2025-10,14,235,722880.36
2024-08,2025-11,15,234,752256.304
2024-08,2025-12,16,232,755880.281
2024-09,2024-09,0,1180,3730061.297
2024-09,2024-10,1,167,463478.395
2024-09,2024-11,2,192,601696.525
2024-09,2024-12,3,184,620398.476
2024-09,2025-01,4,177,536050.315
2024-09,2025-02,5,180,542619.163
2024-09,2025-03,6,163,553580.99
2024-09,2025-04,7,187,534734.742
2024-09,2025-05,8,180,560398.517
2024-09,2025-06,9,199,663562.066
2024-09,2025-07,10,170,517564.11699999997
2024-09,2025-08,11,191,564449.528
2024-09,2025-09,12,190,644094.062
2024-09,2025-10,13,182,561799.242
2024-09,2025-11,14,195,586500.362
2024-09,2025-12,15,162,578562.959
2024-10,2024-10,0,1058,3454484.61
2024-10,2024-11,1,167,512932.566
2024-10,2024-12,2,180,538975.758
2024-10,2025-01,3,152,452182.288
2024-10,2025-02,4,157,482055.613
2024-10,2025-03,5,158,471139.63
2024-10,2025-04,6,158,537285.14
2024-10,2025-05,7,182,607434.107
2024-10,2025-06,8,162,600522.753
2024-10,2025-07,9,169,524075.449
2024-10,2025-08,10,185,549806.622
2024-10,2025-09,11,182,556961.073
2024-10,2025-10,12,163,488564.281
2024-10,2025-11,13,164,448557.947
2024-10,2025-12,14,157,505103.36
2024-11,2024-11,0,888,2760091.944
2024-11,2024-12,1,141,478316.768
2024-11,2025-01,2,152,420486.13
2024-11,2025-02,3,136,472780.247
2024-11,2025-03,4,125,431423.948
2024-11,2025-04,5,159,525724.763
2024-11,2025-05,6,129,426568.832
2024-11,2025-06,7,133,443179.124
2024-11,2025-07,8,140,477403.787
2024-11,2025-08,9,140,481182.416
2024-11,2025-09,10,134,388301.346
2024-11,2025-10,11,158,465307.262
2024-11,2025-11,12,147,499812.406
2024-11,2025-12,13,139,452455.439
2024-12,2024-12,0,736,2238435.13
2024-12,2025-01,1,115,364514.961
2024-12,2025-02,2,125,404431.577
2024-12,2025-03,3,108,329298.915
2024-12,2025-04,4,122,309879.732
2024-12,2025-05,5,131,430078.503
2024-12,2025-06,6,102,325727.08400000003
2024-12,2025-07,7,125,392849.095
2024-12,2025-08,8,120,358354.42100000003
2024-12,2025-09,9,130,461089.473
2024-12,2025-10,10,109,358680.651
2024-12,2025-11,11,118,378845.93
2024-12,2025-12,12,102,352815.55
2025-01,2025-01,0,630,2072667.375
2025-01,2025-02,1,95,355645.278
2025-01,2025-03,2,121,312923.16
2025-01,2025-04,3,103,323607.417
2025-01,2025-05,4,89,271603.433
2025-01,2025-06,5,91,335397.376
2025-01,2025-07,6,101,329975.787
2025-01,2025-08,7,96,319132.373
2025-01,2025-09,8,107,369096.183
2025-01,2025-10,9,89,290797.58400000003
2025-01,2025-11,10,99,346992.202
2025-01,2025-12,11,98,268525.105
2025-02,2025-02,0,459,1433309.0760000001
2025-02,2025-03,1,82,288340.553
2025-02,2025-04,2,68,260401.103
2025-02,2025-05,3,55,196447.471
2025-02,2025-06,4,75,251188.91700000002
2025-02,2025-07,5,71,213637.321
2025-02,2025-08,6,80,260985.9
2025-02,2025-09,7,66,245927.117
2025-02,2025-10,8,69,169995.08
2025-02,2025-11,9,73,252589.87900000002
2025-02,2025-12,10,54,158935.572
2025-03,2025-03,0,456,1392377.762
2025-03,2025-04,1,67,214519.91
2025-03,2025-05,2,72,206951.061
2025-03,2025-06,3,72,222035.224
2025-03,2025-07,4,70,218916.2
2025-03,2025-08,5,83,230451.546
2025-03,2025-09,6,65,165993.294
2025-03,2025-10,7,66,199056.721
2025-03,2025-11,8,76,234798.501
2025-03,2025-12,9,67,171906.293
2025-04,2025-04,0,362,1248524.685
2025-04,2025-05,1,52,155736.535
2025-04,2025-06,2,48,123645.947
2025-04,2025-07,3,63,171629.301
2025-04,2025-08,4,55,176426.148
2025-04,2025-09,5,54,165566.287
2025-04,2025-10,6,59,183440.612
2025-04,2025-11,7,58,188986.072
2025-04,2025-12,8,59,168532.455
2025-05,2025-05,0,317,1019512.176
2025-05,2025-06,1,48,155985.379
2025-05,2025-07,2,50,207165.453
2025-05,2025-08,3,64,194782.454
2025-05,2025-09,4,56,162200.728
2025-05,2025-10,5,38,118610.936
2025-05,2025-11,6,43,135301.685
2025-05,2025-12,7,52,139553.968
2025-06,2025-06,0,259,818602.511
2025-06,2025-07,1,45,152163.414
2025-06,2025-08,2,48,140718.265
2025-06,2025-09,3,38,157245.493
2025-06,2025-10,4,47,171839.66
2025-06,2025-11,5,29,82997.578
2025-06,2025-12,6,38,139221.465
2025-07,2025-07,0,243,817403.172
2025-07,2025-08,1,38,110622.81
2025-07,2025-09,2,38,123957.0
2025-07,2025-10,3,37,132129.111
2025-07,2025-11,4,42,120836.907
2025-07,2025-12,5,43,120873.216
2025-08,2025-08,0,187,657038.885
2025-08,2025-09,1,35,84935.139
2025-08,2025-10,2,28,107802.684
2025-08,2025-11,3,30,85118.717
2025-08,2025-12,4,39,107934.055
2025-09,2025-09,0,159,484206.076
2025-09,2025-10,1,21,83953.509
2025-09,2025-11,2,16,46969.588
2025-09,2025-12,3,36,102377.024
2025-10,2025-10,0,134,435050.642
2025-10,2025-11,1,22,49201.164000000004
2025-10,2025-12,2,19,67318.515
2025-11,2025-11,0,122,403826.201
2025-11,2025-12,1,16,40806.916
2025-12,2025-12,0,107,346094.544
