customer_id,recency_days,frequency,monetary,gross_profit,contribution_profit,returns,first_order,last_order,avg_order_value,return_rate,R_score,F_score,M_score,RFM_score,rfm_segment,tenure_years,annual_contribution,estimated_retention,clv_3yr,churn_probability,churn_band
100011,258,5,11136.970000000001,4685.507738,3748.4092773459665,0,2024-05-17 21:24:59,2025-04-16 16:55:44,2227.3940000000002,0.0,2,4,3,9,At Risk Loyal,0.9123287671232877,4108.616775469302,0.73,6170.085361711748,0.95,Very High
100012,49,3,6163.523,1766.630162,1268.338050498179,0,2025-03-02 22:38:29,2025-11-11 20:05:07,2054.507666666667,0.0,4,2,2,8,New / Promising,0.6931506849315069,1829.8157645527087,0.69,2486.2355545839623,0.156,Very Low
100013,82,3,4984.754,2398.0090020000002,1769.6039607445553,0,2024-03-03 04:20:15,2025-10-09 12:04:43,1661.5846666666666,0.0,4,2,1,7,New / Promising,1.6027397260273972,1104.1118729431842,0.6500000000000001,1352.160642580534,0.28800000000000003,Low
100014,257,7,18597.509,8106.043347999999,6851.54139031749,0,2024-02-18 13:13:42,2025-04-17 16:00:50,2656.787,0.0,2,5,5,12,At Risk Loyal,1.1616438356164382,5898.142942136519,0.8700000000000001,12254.212340352391,0.9179999999999999,Very High
100015,438,1,1144.5720000000001,535.659696,285.722069263706,0,2024-10-18 01:43:15,2024-10-18 01:43:15,1144.5720000000001,0.0,1,1,1,3,Hibernating,0.25,1142.888277054824,0.55,1058.6002666220306,0.95,Very High
100016,35,2,3667.578,1952.31167,1768.922509483093,0,2025-08-29 00:15:56,2025-11-25 20:31:53,1833.789,0.0,5,1,1,7,New / Promising,0.25,7075.690037932372,0.6500000000000001,8665.308129408773,0.1,Very Low
100017,108,3,11756.783,4130.449818,3694.7860366469395,0,2024-03-02 18:15:11,2025-09-13 00:47:46,3918.9276666666665,0.0,3,2,3,8,Potential Loyalist,1.5315068493150685,2412.516821781991,0.67,3113.6007897831696,0.392,Low
100018,1,9,32546.872,14449.022149999999,12784.214911330153,0,2024-02-10 21:28:43,2025-12-29 03:05:41,3616.319111111111,0.0,5,5,5,15,Champions,1.8821917808219177,6792.19569524819,0.95,16732.728463327898,0.02,Very Low
100019,242,4,11192.655,4749.1196310000005,4015.2259811905706,0,2024-03-14 02:18:08,2025-05-02 02:59:35,2798.16375,0.0,2,3,3,8,Potential Loyalist,1.1342465753424658,3539.993920614875,0.6699999999999999,4568.725808474432,0.9279999999999999,Very High
100020,117,3,8176.227,2688.253134,2136.601243913461,0,2024-02-26 14:48:02,2025-09-04 23:40:21,2725.409,0.0,3,2,2,7,Potential Loyalist,1.5232876712328767,1402.62491731729,0.63,1628.2524366305101,0.42800000000000005,Medium
100021,75,6,26154.61,9778.932695,8830.631847653782,1,2024-01-18 03:02:43,2025-10-16 00:07:36,4359.1016666666665,0.16666666666666666,4,4,5,13,Champions,1.7424657534246575,5067.894063511998,0.9299999999999999,11975.235563492728,0.29000000000000004,Low
100022,220,4,8883.462,4270.1110180000005,3669.420843535769,0,2024-09-06 14:00:27,2025-05-24 22:47:01,2220.8655,0.0,2,3,3,8,Potential Loyalist,0.7123287671232876,5151.302338040599,0.6699999999999999,6648.284846481573,0.84,Very High
100023,145,6,21355.636000000002,10555.875026,9376.113306882931,1,2024-02-22 21:18:00,2025-08-07 13:16:51,3559.272666666667,0.16666666666666666,3,4,5,12,Potential Loyalist,1.4547945205479451,6444.974306991093,0.87,13390.33056010942,0.57,Medium
100024,343,5,8994.408,3549.128592,2625.7700602007762,0,2024-05-28 01:44:11,2025-01-21 00:53:25,1798.8816,0.0,1,4,3,8,At Risk Loyal,0.6493150684931507,4043.90747668052,0.67,5219.078018242452,0.95,Very High
100025,571,3,4911.964,2512.5959380000004,2053.9587735068867,0,2024-03-04 07:47:19,2024-06-07 04:23:53,1637.3213333333333,0.0,1,2,1,4,Hibernating,0.25753424657534246,7975.478216276741,0.55,7387.286697826331,0.95,Very High
100026,83,3,4767.222,1827.7785479999998,1436.8432456568707,0,2024-07-29 20:44:41,2025-10-08 18:39:41,1589.0739999999998,0.0,4,2,1,7,New / Promising,1.1917808219178083,1205.6270911833512,0.6500000000000001,1476.482177463975,0.292,Low
100027,40,5,8835.821,3634.226753,2800.1589987109946,1,2024-04-24 02:10:41,2025-11-20 20:52:10,1767.1642,0.2,4,4,3,11,Loyal Customers,1.5753424657534247,1777.4922339643704,0.8500000000000001,3533.3717782657654,0.18,Very Low
100028,48,1,951.294,485.15994,311.8052783638968,0,2025-11-12 11:47:43,2025-11-12 11:47:43,951.294,0.0,4,1,1,6,New / Promising,0.25,1247.221113455587,0.5900000000000001,1296.5192287209832,0.23200000000000004,Low
100029,374,5,8289.387,3706.5625840000002,2685.2627441362374,1,2024-01-21 04:45:11,2024-12-21 03:19:17,1657.8774,0.2,1,4,2,7,At Risk Loyal,0.915068493150685,2934.4937173943913,0.63,3406.539044496014,0.95,Very High
100030,234,4,10952.17,5042.024878,4392.320186522781,0,2024-04-10 18:03:04,2025-05-10 22:54:05,2738.0425,0.0,2,3,3,8,Potential Loyalist,1.082191780821918,4058.7262483058607,0.6699999999999999,5238.203165316947,0.896,Very High
100031,19,6,27857.196,11917.047424,10908.293515059187,0,2024-10-31 18:58:14,2025-12-11 18:19:36,4642.866,0.0,5,4,5,14,Champions,1.1095890410958904,9830.931192584207,0.95,24218.72242318557,0.02,Very Low
100032,1,5,14673.358,5943.996979,5154.033397796179,1,2024-04-06 21:11:06,2025-12-29 05:07:36,2934.6716,0.2,5,4,4,13,Champions,1.7287671232876711,2981.3346912767124,0.95,7344.5857695668,0.10999999999999999,Very Low
100033,1,8,27227.078,11699.329495000002,10190.119143132675,0,2024-03-12 14:24:45,2025-12-29 00:04:59,3403.38475,0.0,5,5,5,15,Champions,1.7972602739726027,5669.807145188151,0.95,13967.698761424306,0.02,Very Low
100034,64,2,2845.331,741.950554,245.16732974482375,0,2024-03-21 16:11:12,2025-10-27 02:07:35,1422.6655,0.0,4,1,1,6,New / Promising,1.6,153.22958109051484,0.5900000000000001,159.2861892325462,0.21600000000000003,Low
100035,214,6,10188.399,3773.58183,2931.3540100703194,0,2024-04-17 23:43:07,2025-05-30 12:19:24,1698.0665,0.0,2,4,3,9,At Risk Loyal,1.115068493150685,2628.8555618566747,0.73,3947.86472106872,0.7759999999999999,High
100036,226,5,14659.229000000001,5485.841893000001,4555.062470900464,1,2024-05-12 04:06:04,2025-05-18 05:53:57,2931.8458,0.2,2,4,4,10,At Risk Loyal,1.0164383561643835,4481.395692395336,0.77,7412.362917092656,0.8939999999999999,Very High
100037,1,5,9677.304,3624.658456,2948.6268660401483,0,2024-02-03 01:47:08,2025-12-29 00:49:08,1935.4608,0.0,5,4,3,12,Loyal Customers,1.9013698630136986,1550.7907868943144,0.91,3512.7822097924936,0.04,Very Low
100038,10,3,3895.838,1156.0855819999997,634.6050209177308,0,2024-02-29 20:38:02,2025-12-20 18:59:10,1298.6126666666667,0.0,5,2,1,8,New / Promising,1.8054794520547945,351.4883651517022,0.7100000000000001,502.3123421731752,0.08,Very Low
100039,83,3,6538.345,1999.219881,1460.6284763798085,0,2025-03-16 17:03:04,2025-10-08 18:36:55,2179.4483333333333,0.0,4,2,2,8,New / Promising,0.5643835616438356,2588.006766401117,0.69,3516.4165501127327,0.292,Low
100040,31,5,15265.597999999998,6782.07032,6137.860991805321,0,2024-08-16 05:30:55,2025-11-29 12:07:09,3053.1195999999995,0.0,5,4,4,13,Champions,1.2876712328767124,4766.6367276786,0.95,11742.717911289134,0.02,Very Low
100041,6,7,28931.919,7356.116565,6236.1933952408035,0,2024-06-14 09:01:58,2025-12-24 00:26:48,4133.131285714286,0.0,5,5,5,15,Champions,1.526027397260274,4086.554020220634,0.95,10067.318705041263,0.02,Very Low
100042,124,7,14786.822,7417.312224,6111.451840675701,1,2024-03-30 11:11:53,2025-08-28 22:31:10,2112.403142857143,0.14285714285714285,3,5,4,12,Potential Loyalist,1.4136986301369863,4323.023104353935,0.89,9381.231307897313,0.386,Low
100043,191,6,21105.201,6786.66859,5611.146053831926,0,2024-01-21 12:09:09,2025-06-22 19:14:19,3517.5335,0.0,2,4,5,11,At Risk Loyal,1.4191780821917808,3953.7998255765506,0.81,7179.888415801825,0.6539999999999999,High
100044,4,4,9663.060000000001,4388.431348,3694.8631545432813,0,2024-12-29 00:51:27,2025-12-26 00:41:13,2415.7650000000003,0.0,5,3,3,11,Loyal Customers,0.989041095890411,3735.8034665049795,0.85,7426.182959042227,0.08,Very Low
100045,76,8,27406.241,14440.259472,12955.341490165207,0,2024-02-02 07:22:01,2025-10-15 00:51:20,3425.780125,0.0,4,5,5,14,Champions,1.6986301369863013,7626.934909532743,0.95,18789.127489063674,0.194,Very Low
100046,320,3,5845.219,2483.779023,2073.7103741669257,0,2024-08-13 03:41:21,2025-02-13 22:03:05,1948.4063333333334,0.0,1,2,2,5,Hibernating,0.5041095890410959,4113.610253102868,0.55,3810.231496936532,0.95,Very High
100047,265,3,5765.397999999999,2011.717654,1492.3261828700724,0,2024-03-07 14:05:24,2025-04-09 02:21:10,1921.7993333333332,0.0,2,2,2,6,Hibernating,1.0876712328767124,1372.0379263163134,0.5700000000000001,1347.2077817716056,0.95,Very High
100048,131,2,7669.523,1770.044427,1391.845240036817,0,2025-03-31 04:33:43,2025-08-21 06:04:40,3834.7615,0.0,3,1,2,6,Potential Loyalist,0.3917808219178082,3552.6119763177494,0.5700000000000001,3488.319388488152,0.48400000000000004,Medium
100049,424,2,6200.474,1969.3048559999997,1654.839904556293,0,2024-08-16 11:51:07,2024-11-01 22:06:43,3100.237,0.0,1,1,2,4,Hibernating,0.25,6619.359618225172,0.55,6131.181846381066,0.95,Very High
100050,21,6,16537.756,4975.759468,3902.037629344775,0,2024-01-22 04:06:15,2025-12-09 04:03:44,2756.2926666666667,0.0,5,4,4,13,Champions,1.8794520547945206,2076.1570476834445,0.95,5114.660072355612,0.02,Very Low
100051,92,3,5445.919,2130.935831,1495.0351212871035,0,2024-06-03 22:05:00,2025-09-29 03:02:42,1815.3063333333332,0.0,3,2,2,7,Potential Loyalist,1.3205479452054794,1132.1324051240515,0.63,1314.2482530235839,0.328,Low
100052,226,4,10593.667000000001,3481.361683,2711.1307437961686,1,2024-04-05 02:19:58,2025-05-18 18:09:16,2648.4167500000003,0.25,2,3,3,8,Potential Loyalist,1.1178082191780823,2425.398827170592,0.6699999999999999,3130.22634107044,0.95,Very High
100053,71,5,15674.272,6019.761514,5212.566810039061,1,2024-04-13 00:00:27,2025-10-20 15:27:12,3134.8544,0.2,4,4,4,12,Champions,1.5205479452054795,3428.0844786743373,0.8900000000000001,7439.158353113339,0.274,Low
100054,42,4,16779.979,8820.480139000001,8256.068633824476,1,2024-03-01 04:22:42,2025-11-18 18:13:23,4194.99475,0.25,4,3,4,11,Loyal Customers,1.7178082191780821,4806.1643562136105,0.8300000000000001,9134.713944908333,0.198,Very Low
100055,202,6,13318.577000000001,6052.146511999999,5045.509469347171,1,2024-03-22 05:41:35,2025-06-11 06:28:53,2219.7628333333337,0.16666666666666666,2,4,4,10,At Risk Loyal,1.2219178082191782,4129.172547784119,0.77,6829.775269211366,0.7979999999999999,High
100056,12,6,8530.182,4060.283762,3211.3323667167883,0,2024-09-16 12:29:08,2025-12-18 13:56:17,1421.6970000000001,0.0,5,4,2,11,Loyal Customers,1.2547945205479452,2559.249593562506,0.87,5317.196998978666,0.04,Very Low
100057,180,3,11156.034,2294.11431,1816.8839891355617,0,2024-06-21 07:25:07,2025-07-03 13:51:31,3718.678,0.0,2,2,3,7,Hibernating,1.0328767123287672,1759.0521380224932,0.6100000000000001,1933.4877437203404,0.6799999999999999,High
100058,156,8,35014.523,14270.157697999999,13146.951389267975,1,2024-01-19 20:36:31,2025-07-27 20:51:00,4376.815375,0.125,3,5,5,13,Potential Loyalist,1.5205479452054795,8646.193256005065,0.93,20430.616676385413,0.5139999999999999,Medium
100059,236,5,15134.917,5609.206561999999,4631.364723321463,0,2024-05-01 13:41:16,2025-05-08 02:35:31,3026.9834,0.0,2,4,4,10,At Risk Loyal,1.0164383561643835,4556.46394612489,0.77,7536.528060808951,0.834,Very High
100060,55,5,8633.195,3755.958534,3070.9388116763675,1,2024-11-08 00:59:53,2025-11-05 18:03:49,1726.639,0.2,4,4,2,10,Loyal Customers,0.9917808219178083,3096.3885808339064,0.81,5622.875583770493,0.24000000000000002,Low
100061,238,2,2508.5699999999997,906.2772479999999,460.25221734237465,0,2024-03-03 07:57:02,2025-05-06 12:49:50,1254.2849999999999,0.0,2,1,1,4,Hibernating,1.1753424657534246,391.58988188803437,0.55,362.7101280987918,0.912,Very High
100062,509,1,4758.762,1813.0883219999998,1707.8782994723033,0,2024-08-08 18:50:04,2024-08-08 18:50:04,4758.762,0.0,1,1,1,3,Hibernating,0.25,6831.513197889213,0.55,6327.689099544884,0.95,Very High
100063,237,6,19197.642,7870.67003,6773.038061522808,1,2024-02-12 07:01:32,2025-05-07 15:20:38,3199.607,0.16666666666666666,2,4,5,11,At Risk Loyal,1.2328767123287672,5493.6864276796105,0.81,9976.239891303232,0.938,Very High
100064,49,2,3197.747,1589.267696,1269.73355756121,0,2024-03-30 14:48:04,2025-11-11 19:39:08,1598.8735,0.0,4,1,1,6,New / Promising,1.6191780821917807,784.1840076308658,0.5900000000000001,815.1799498743046,0.156,Very Low
100065,92,5,30305.719,9110.307193,8394.1899927419,0,2024-07-25 13:04:09,2025-09-29 12:45:09,6061.1438,0.0,3,4,5,12,Potential Loyalist,1.178082191780822,7125.300807792542,0.87,14803.80349275591,0.258,Low
100066,60,4,10364.612,4718.669962,4073.6598882527464,0,2025-01-23 16:34:31,2025-10-31 03:13:08,2591.153,0.0,4,3,3,10,Loyal Customers,0.7671232876712328,5310.306640043759,0.79,9206.811722896742,0.2,Very Low
100067,39,7,16103.473,6801.004621,5591.538488937154,0,2024-05-07 01:52:48,2025-11-21 07:41:47,2300.496142857143,0.0,5,5,4,14,Champions,1.5424657534246575,3625.064917339363,0.95,8930.42981170455,0.04600000000000001,Very Low
100068,1,5,10199.819000000001,4518.207354,3793.0034767685975,1,2024-02-17 08:57:06,2025-12-29 01:12:23,2039.9638000000002,0.2,5,4,3,12,Loyal Customers,1.8630136986301369,2035.9503956184385,0.91,4611.744143819082,0.13999999999999999,Very Low
100069,151,2,5401.991,1239.953774,993.8982787275654,0,2024-09-17 04:06:21,2025-08-01 05:33:29,2700.9955,0.0,3,1,2,6,Potential Loyalist,0.8712328767123287,1140.7951941369854,0.5700000000000001,1120.1499123827266,0.564,Medium
100070,34,5,9368.543,3786.558914,2904.55882264146,1,2024-09-19 22:43:44,2025-11-26 21:54:31,1873.7086,0.2,5,4,3,12,Loyal Customers,1.1835616438356165,2454.083264500308,0.91,5558.880092491589,0.156,Very Low
100071,123,6,7565.94,3092.996358,1970.951368706244,0,2024-02-20 00:27:27,2025-08-29 11:48:49,1260.99,0.0,3,4,2,9,Potential Loyalist,1.5232876712328767,1293.8799452837754,0.75,2040.066391001407,0.41200000000000003,Medium
100072,377,5,28910.218,14742.320781999999,13931.292181569836,0,2024-02-05 20:20:17,2024-12-18 18:49:26,5782.0436,0.0,1,4,5,10,At Risk Loyal,0.8657534246575342,16091.524197066425,0.75,25371.579344806436,0.95,Very High
100073,405,2,4670.221,1822.2465590000002,1540.0934835438998,0,2024-01-13 08:57:02,2024-11-20 00:41:11,2335.1105,0.0,1,1,1,3,Hibernating,0.852054794520548,1807.5052138055414,0.55,1674.2017042873829,0.95,Very High
100074,246,2,6777.892,2963.914096,2628.4211844687993,0,2024-01-06 19:30:54,2025-04-28 11:51:39,3388.946,0.0,2,1,2,5,Hibernating,1.3068493150684932,2011.2656862287456,0.55,1862.9348418693753,0.944,Very High
100075,49,4,9723.466,3920.1387560000003,3068.674379136388,0,2025-01-20 05:24:33,2025-11-11 08:38:32,2430.8665,0.0,4,3,3,10,Loyal Customers,0.8082191780821918,3796.8344013043443,0.79,6582.8099666083335,0.156,Very Low
100076,298,4,21958.911,11026.048490000001,10195.12225520735,1,2024-05-13 21:04:13,2025-03-07 22:28:02,5489.72775,0.25,1,3,5,9,At Risk High Value,0.8164383561643835,12487.314171646587,0.69,16966.95649706412,0.95,Very High
100077,187,4,8331.603,3866.5068029999998,3214.820763191904,0,2024-07-02 23:03:51,2025-06-26 04:26:42,2082.90075,0.0,2,3,2,7,Potential Loyalist,0.9808219178082191,3277.6803870531985,0.6299999999999999,3804.9310338240175,0.708,High
100078,350,2,5288.676,2828.1859200000004,2495.4963226844807,0,2024-04-27 06:38:40,2025-01-14 18:46:52,2644.338,0.0,1,1,1,3,Hibernating,0.7178082191780822,3476.550220533723,0.55,3220.154641769361,0.95,Very High
100079,39,5,14975.762,3725.952443,2718.897300475942,0,2024-07-10 09:03:20,2025-11-21 20:08:48,2995.1524,0.0,5,4,4,13,Champions,1.367123287671233,1988.7725744964303,0.95,4899.386436648648,0.04600000000000001,Very Low
100080,154,5,7724.938,3005.602903,2259.1973282826784,1,2024-02-05 13:31:45,2025-07-29 00:04:42,1544.9876,0.2,3,4,2,9,Potential Loyalist,1.4767123287671233,1529.8831629372498,0.75,2412.1737370175383,0.6359999999999999,High
100081,18,5,16611.192,8410.646608,7449.909972676135,0,2024-01-28 04:26:04,2025-12-12 00:40:50,3322.2383999999997,0.0,5,4,4,13,Champions,1.8712328767123287,3981.2842460128686,0.95,9807.984223785565,0.02,Very Low
100082,68,3,9643.974,3984.8945660000004,3374.372329121334,2,2024-04-02 07:59:29,2025-10-23 20:10:49,3214.658,0.6666666666666666,4,2,3,9,New / Promising,1.558904109589041,2164.5797893309086,0.73,3250.641956229224,0.33199999999999996,Low
100083,266,4,25869.487,11987.588732,11093.581021115626,0,2024-03-03 08:11:48,2025-04-08 15:16:40,6467.37175,0.0,2,3,5,10,At Risk High Value,1.0986301369863014,10097.64856036709,0.75,15921.008383533337,0.95,Very High
100084,160,2,8262.633,3418.2459080000003,2996.0743456473974,0,2024-02-29 23:07:12,2025-07-23 22:09:51,4131.3165,0.0,3,1,2,6,Potential Loyalist,1.3945205479452054,2148.461957094892,0.5700000000000001,2109.5806551131764,0.6,Medium
100085,75,7,17220.001,8343.848826,6843.275424693767,0,2024-03-25 08:12:40,2025-10-16 00:01:59,2460.0001428571427,0.0,4,5,4,13,Champions,1.558904109589041,4389.798822518848,0.95,10814.369167430237,0.19,Very Low
100086,44,7,10541.358,4509.676004,3242.8259547814564,0,2024-08-01 10:26:07,2025-11-16 13:20:28,1505.9082857142857,0.0,4,5,3,12,Loyal Customers,1.2931506849315069,2507.693799778033,0.9100000000000001,5680.316288897028,0.096,Very Low
100087,91,4,4501.27,1840.083377,1106.9678679347417,0,2024-09-16 21:24:57,2025-09-30 13:10:51,1125.3175,0.0,3,3,1,7,Potential Loyalist,1.0356164383561643,1068.8975444343405,0.65,1309.0350950419188,0.324,Low
100088,56,6,12855.571,6350.0825780000005,5290.730281561621,0,2024-09-11 23:53:12,2025-11-04 17:47:00,2142.5951666666665,0.0,4,4,4,12,Champions,1.1452054794520548,4619.8960592583535,0.8900000000000001,10025.46424207071,0.11399999999999999,Very Low
100089,287,3,15487.25,7926.705309999999,7298.246866819442,0,2024-01-03 10:14:57,2025-03-18 12:50:48,5162.416666666667,0.0,1,2,4,7,At Risk High Value,1.2054794520547945,6054.227514520674,0.5900000000000001,6293.529112796897,0.95,Very High
100090,51,6,20112.203999999998,8930.258753,7919.373053235183,0,2024-01-18 02:58:21,2025-11-09 08:50:44,3352.0339999999997,0.0,4,4,5,13,Champions,1.810958904109589,4373.027480228202,0.9299999999999999,10333.292990159556,0.094,Very Low
100091,324,5,22346.387,6662.047303,5708.822489984052,1,2024-02-05 15:11:17,2025-02-09 10:50:23,4469.2774,0.2,1,4,5,10,At Risk Loyal,1.010958904109589,5646.938235350079,0.75,8903.553183577538,0.95,Very High
100092,189,5,16975.992,6089.117827,5262.419243427857,1,2024-05-02 14:08:46,2025-06-24 07:08:25,3395.1983999999998,0.2,2,4,4,10,At Risk Loyal,1.1424657534246576,4606.194301801361,0.77,7618.783561008504,0.7459999999999999,High
100093,40,6,11293.132,5814.847492,4710.100312526172,0,2024-08-24 02:36:17,2025-11-20 12:15:05,1882.1886666666667,0.0,4,4,3,11,Loyal Customers,1.2410958904109588,3795.113938348903,0.8500000000000001,7544.082741311066,0.07999999999999999,Very Low
100094,68,7,15621.06,5288.337828,4248.085897725725,0,2024-11-14 02:14:54,2025-10-23 05:17:00,2231.58,0.0,4,5,4,13,Champions,0.9397260273972603,4520.557879504051,0.95,11136.497076110036,0.16199999999999998,Very Low
100095,244,8,21569.1,7655.804899999999,6191.372941380678,2,2024-02-03 23:54:53,2025-04-30 04:23:40,2696.1375,0.25,2,5,5,12,At Risk Loyal,1.2356164383561643,5010.756371627378,0.8700000000000001,10410.543312714843,0.95,Very High
100096,61,5,14823.775,4603.655521000001,3825.3165761835494,0,2024-01-16 15:02:12,2025-10-30 21:36:25,2964.755,0.0,4,4,4,12,Champions,1.789041095890411,2138.19379832618,0.8900000000000001,4640.014665433343,0.134,Very Low
100097,34,5,27046.909,11760.805767,10801.743786082963,0,2024-11-14 00:14:08,2025-11-26 09:24:08,5409.3818,0.0,5,4,5,14,Champions,1.0328767123287672,10457.921702706317,0.95,25763.327794655703,0.026000000000000002,Very Low
100098,381,1,1431.672,343.60128,136.93934337229285,0,2024-12-14 02:25:49,2024-12-14 02:25:49,1431.672,0.0,1,1,1,3,Hibernating,0.25,547.7573734891714,0.55,507.36026719434506,0.95,Very High
100099,375,3,9835.346,5065.618941999999,4547.533585613986,0,2024-04-27 08:10:27,2024-12-20 21:24:31,3278.4486666666667,0.0,1,2,3,6,Hibernating,0.6493150684931507,7003.585479954029,0.55,6487.07105080742,0.95,Very High
100100,6,5,15069.806,5514.6797559999995,4697.651925164324,2,2024-01-21 06:25:38,2025-12-24 18:37:20,3013.9612,0.4,5,4,4,13,Champions,1.926027397260274,2439.036917048333,0.95,6008.622877805774,0.10999999999999999,Very Low
100101,31,7,22718.398,8011.960295999999,6911.395280010995,0,2024-01-19 03:02:07,2025-11-29 01:43:33,3245.4854285714287,0.0,5,5,5,15,Champions,1.8602739726027397,3715.2566674580457,0.95,9152.619237934428,0.02,Very Low
100102,65,3,10044.184000000001,3125.047112,2469.1155667256535,0,2024-11-07 23:13:29,2025-10-26 16:15:24,3348.0613333333336,0.0,4,2,3,9,New / Promising,0.9643835616438357,2560.3044939058623,0.73,3844.9186533268094,0.22000000000000003,Low
100103,161,4,11593.344000000001,5351.431044000001,4686.4750627414,0,2024-05-25 07:11:41,2025-07-22 18:23:22,2898.3360000000002,0.0,2,3,3,8,Potential Loyalist,1.158904109589041,4043.8851014198835,0.6699999999999999,5219.049140670049,0.604,High
100105,67,4,4882.119,2279.096846,1607.8375137822434,0,2024-06-10 20:57:00,2025-10-24 08:58:52,1220.52975,0.0,4,3,1,8,Loyal Customers,1.36986301369863,1173.7213850610378,0.71,1677.3662984101697,0.22799999999999998,Low
100106,159,5,18593.55,5901.872494,4974.440331828743,0,2024-06-01 07:00:20,2025-07-24 09:59:30,3718.71,0.0,3,4,5,12,Potential Loyalist,1.1452054794520548,4343.709859132754,0.87,9024.661402901429,0.5259999999999999,Medium
100107,208,2,4614.0560000000005,1893.9747700000003,1467.716080435467,0,2025-05-04 23:00:48,2025-06-05 12:50:45,2307.0280000000002,0.0,2,1,1,4,Hibernating,0.25,5870.864321741868,0.55,5437.888078013405,0.7919999999999999,High
100108,130,5,11640.629,5215.107336,4287.350723642216,0,2024-02-23 08:31:40,2025-08-22 07:28:46,2328.1258000000003,0.0,3,4,3,10,Potential Loyalist,1.4931506849315068,2871.344980053961,0.79,4978.230903559211,0.44000000000000006,Medium
100109,98,8,20655.633,9134.200594,7745.686151374742,1,2024-01-16 20:41:42,2025-09-23 08:02:18,2581.954125,0.125,3,5,5,13,Potential Loyalist,1.6849315068493151,4597.033244311839,0.93,10862.609854100234,0.28200000000000003,Low
100110,15,3,11976.817,6447.620014,5999.93745378038,0,2024-02-11 17:36:29,2025-12-15 20:42:01,3992.272333333333,0.0,5,2,3,10,New / Promising,1.8438356164383563,3254.0522594797008,0.79,5641.7545200835075,0.08,Very Low
100111,67,2,3726.6929999999998,1642.522056,1342.9920175514735,0,2024-02-20 17:35:35,2025-10-24 15:05:44,1863.3464999999999,0.0,4,1,1,6,New / Promising,1.673972602739726,802.2783738237117,0.5900000000000001,833.9895205650583,0.22799999999999998,Low
100112,51,5,18279.284,9657.875736,8615.383923486397,0,2024-06-22 04:40:30,2025-11-09 04:20:52,3655.8568,0.0,4,4,5,13,Champions,1.3808219178082193,6239.315738239156,0.9299999999999999,14743.25918893481,0.094,Very Low
100113,623,2,10395.452,5622.974152,5333.433003456681,0,2024-02-18 16:45:05,2024-04-16 01:36:08,5197.726,0.0,1,1,3,5,Hibernating,0.25,21333.732013826724,0.55,19760.369277807004,0.95,Very High
