product_id,units,orders,revenue,gross_profit,contribution_profit,returns,product_name,category,subcategory,list_price_inr,gross_margin_rate,weight_kg,abc_class,contribution_margin_pct,return_rate_pct
2040,776,539,608775.864,336653.052792,242692.29664163533,39,Nova Accessories 07,Electronics,Accessories,853,0.553,2.79,B,39.86562395016951,7.2356215213358075
2041,730,544,1640632.832,597190.350848,501729.87824179645,30,UrbanPeak Accessories 08,Electronics,Accessories,2434,0.364,1.23,B,30.581484684185355,5.514705882352941
2042,744,536,1392932.916,846903.212928,755666.1640015924,39,Aurelia Accessories 09,Electronics,Accessories,2031,0.608,2.27,B,54.25000409722477,7.276119402985074
2043,768,550,5646916.8,3009806.6544000003,2914267.6043292796,48,Vertex Accessories 10,Electronics,Accessories,8003,0.533,2.25,B,51.60812010421829,8.727272727272727
2044,767,540,710032.5,202359.26249999998,107733.19660086064,30,Luma Accessories 11,Electronics,Accessories,1005,0.285,2.62,C,15.172995123583869,5.555555555555555
2045,789,564,1450346.898,670060.266876,570777.5583167049,40,Nexora Kitchen 01,Home,Kitchen,2002,0.462,2.63,C,39.35455435549909,7.092198581560283
2046,802,591,1314099.696,417883.70332800003,312099.2512259891,37,HomeCraft Kitchen 02,Home,Kitchen,1776,0.318,1.03,B,23.750043636414407,6.260575296108291
2047,724,544,1337355.22,371784.75116000004,278330.12109241646,48,Stride Kitchen 03,Home,Kitchen,2011,0.278,3.24,B,20.811981508728582,8.823529411764707
2048,737,516,1052733.645,534788.69166,446966.47015763697,33,Nova Kitchen 04,Home,Kitchen,1545,0.508,2.41,B,42.45769784983332,6.395348837209302
2049,766,546,661700.154,188584.54388999997,93508.00320316009,46,UrbanPeak Kitchen 05,Home,Kitchen,939,0.285,3.07,A,14.131476717649381,8.424908424908425
2050,743,527,599251.982,202547.169916,107334.15756290549,38,Aurelia Kitchen 06,Home,Kitchen,874,0.338,1.27,C,17.91135628866481,7.2106261859582546
2051,696,498,1876508.182,401572.750948,316335.8065322398,31,Vertex Kitchen 07,Home,Kitchen,2914,0.214,1.47,C,16.857683305973442,6.224899598393574
2052,723,538,1437974.835,415574.72731499997,320498.8163244288,50,Luma Kitchen 08,Home,Kitchen,2157,0.289,2.76,A,22.288207590533304,9.293680297397769
2053,818,587,2427252.236,1262171.1627200001,1160046.8678479944,28,Nexora Kitchen 09,Home,Kitchen,3217,0.52,3.35,C,47.792596527161855,4.770017035775128
2054,802,568,1603866.132,798725.333736,699452.7351746431,45,HomeCraft Kitchen 10,Home,Kitchen,2178,0.498,3.84,B,43.61041867642873,7.922535211267606
2055,746,525,945362.0,551146.046,459331.5609704812,43,Stride Kitchen 11,Home,Kitchen,1375,0.583,1.73,C,48.587901879965685,8.19047619047619
2056,822,580,2102625.756,1209009.8096999999,1106268.3131955934,30,Nova Home Decor 01,Home,Home Decor,2772,0.575,2.4,B,52.61365747274682,5.172413793103448
2057,742,545,2183700.53,759927.78444,665065.9576181989,30,UrbanPeak Home Decor 02,Home,Home Decor,3187,0.348,1.89,C,30.455914100007064,5.504587155963303
2058,696,500,612697.914,294094.99872,207268.49303119784,44,Aurelia Home Decor 03,Home,Home Decor,954,0.48,1.07,B,33.828823029287776,8.8
2059,797,566,2934735.223,619229.132053,518083.4433589227,36,Vertex Home Decor 04,Home,Home Decor,3989,0.211,3.41,B,17.653498663137242,6.360424028268551
2060,813,579,3627468.454,983043.951034,881043.0202013167,38,Luma Home Decor 05,Home,Home Decor,4846,0.271,3.9,C,24.288095992393615,6.563039723661485
2061,754,540,1331648.22,416805.89286,322988.866370255,43,Nexora Home Decor 06,Home,Home Decor,1918,0.313,2.34,A,24.254819067024698,7.962962962962963
2062,762,556,567620.808,333761.035104,235305.18658446017,44,HomeCraft Home Decor 07,Home,Home Decor,808,0.588,3.94,B,41.454644239268305,7.913669064748201
2063,796,573,2589731.928,991867.3284240001,892118.5255624155,39,Stride Home Decor 08,Home,Home Decor,3528,0.383,1.54,B,34.448296208456654,6.806282722513089
2064,731,538,1065579.037,254673.38984299998,158726.52290499918,39,Nova Home Decor 09,Home,Home Decor,1583,0.239,2.75,B,14.895800066776198,7.24907063197026
2065,827,588,3153506.256,1955173.87872,1853632.750723717,40,UrbanPeak Home Decor 10,Home,Home Decor,4131,0.62,2.49,A,58.78005623730454,6.802721088435374
2066,732,531,2346727.548,1363448.705388,1270328.1506793033,37,Aurelia Home Decor 11,Home,Home Decor,3476,0.581,2.72,B,54.13189749112296,6.967984934086629
2067,791,562,381586.8,84330.6828,-13957.297968085191,43,Vertex Storage 01,Home,Storage,525,0.221,3.87,C,-3.6576993669815603,7.6512455516014235
2068,737,524,1992873.051,643697.995473,553266.8017447764,31,Luma Storage 02,Home,Storage,2943,0.323,3.78,B,27.76227022926291,5.916030534351145
2069,825,572,1442590.083,877094.770464,778976.2030169755,26,Nexora Storage 03,Home,Storage,1903,0.608,3.72,A,53.99844433957442,4.545454545454546
2070,735,548,1054034.4,329912.7672,232439.95158460859,33,HomeCraft Storage 04,Home,Storage,1556,0.313,1.63,A,22.05240659931105,6.021897810218978
2071,753,556,1687249.594,696834.082322,600189.3399293589,32,Stride Storage 05,Home,Storage,2438,0.413,3.05,A,35.57205419184465,5.755395683453237
2072,805,575,700269.612,336129.41375999997,236236.08622210147,33,Nova Storage 06,Home,Storage,942,0.48,3.17,C,33.73501893754908,5.739130434782608
2073,754,532,2082096.432,1247175.762768,1154428.4552261252,36,UrbanPeak Storage 07,Home,Storage,3004,0.599,2.67,B,55.445484535853865,6.7669172932330826
2074,680,512,554637.552,161954.16518399998,72435.78318394958,28,Aurelia Storage 08,Home,Storage,887,0.292,3.53,B,13.060021436116099,5.46875
2075,854,614,1280130.588,430123.87756800005,321781.5682316351,44,Vertex Storage 09,Home,Storage,1628,0.336,2.16,C,25.136620532938558,7.166123778501628
2076,771,536,4072425.198,1576028.551626,1482102.3157533952,33,Luma Storage 10,Home,Storage,5721,0.387,1.59,C,36.393604392814076,6.156716417910448
2077,794,558,865931.157,393132.745278,298086.03185838443,34,Nexora Storage 11,Home,Storage,1183,0.454,2.91,B,34.42375637470964,6.093189964157706
2078,751,545,1384285.08,370988.40144000005,275433.3421715462,32,HomeCraft Appliances 01,Home,Appliances,2008,0.268,2.17,B,19.897154578271273,5.871559633027523
2079,748,535,541784.672,139780.445376,45960.052272741355,28,Stride Appliances 02,Home,Appliances,788,0.258,2.64,B,8.483084636388782,5.233644859813084
2080,745,557,6026548.212,3109698.877392,3011413.5526068243,39,Nova Appliances 03,Home,Appliances,8772,0.516,1.27,A,49.9691273789286,7.001795332136445
2081,752,550,870508.652,251577.00042799997,154249.16957001973,25,UrbanPeak Appliances 04,Home,Appliances,1261,0.289,3.7,C,17.719429808725177,4.545454545454546
2082,706,513,771822.473,455375.25907,365155.0839328392,30,Aurelia Appliances 05,Home,Appliances,1181,0.59,3.65,B,47.31076079108145,5.847953216374269
2083,762,548,4845492.278,2199853.494212,2105068.3893347126,31,Vertex Appliances 06,Home,Appliances,6886,0.454,2.36,C,43.44384984147761,5.656934306569343
2084,778,560,904263.795,415961.3457,318956.4199972396,30,Luma Appliances 07,Home,Appliances,1263,0.46,3.05,B,35.27249700373546,5.357142857142857
2085,778,566,749345.152,274260.325632,176308.06897376975,35,Nexora Appliances 08,Home,Appliances,1048,0.366,3.9,B,23.52828579770004,6.18374558303887
2086,786,572,211798.696,126232.022816,27905.35553154804,46,HomeCraft Appliances 09,Home,Appliances,292,0.596,1.35,A,13.175414229910105,8.041958041958042
2087,790,570,3073575.951,1856439.874404,1755488.3891737205,44,Stride Appliances 10,Home,Appliances,4209,0.604,3.81,A,57.11550380274694,7.719298245614035
2088,749,548,663651.73,171222.14634,73576.85341942142,34,Nova Appliances 11,Home,Appliances,965,0.258,2.8,B,11.086666408512402,6.204379562043796
2089,726,516,432735.598,238004.57890000002,148005.1960612318,38,UrbanPeak Menswear 01,Fashion,Menswear,647,0.55,1.22,B,34.20222342355847,7.364341085271318
2090,820,588,1927338.68,583983.62004,479345.98642178485,41,Aurelia Menswear 02,Fashion,Menswear,2545,0.303,1.05,C,24.870874610464668,6.9727891156462585
2091,788,582,1222667.352,300776.168592,199102.37667563674,40,Vertex Menswear 03,Fashion,Menswear,1688,0.246,2.28,B,16.284263773785362,6.8728522336769755
2092,760,540,1824035.2,1003219.3600000001,906487.9525562536,36,Luma Menswear 04,Fashion,Menswear,2608,0.55,3.0,B,49.69684535453338,6.666666666666667
2093,757,532,2057718.49,584392.0511599999,491926.6476619892,42,Nexora Menswear 05,Fashion,Menswear,2930,0.284,1.39,B,23.906411399451883,7.894736842105263
2094,778,553,1048514.868,206557.428996,112612.68088788739,27,HomeCraft Menswear 06,Fashion,Menswear,1458,0.197,2.0,C,10.740208300783712,4.882459312839059
2095,771,552,2051091.783,828641.080332,734144.2960182223,41,Stride Menswear 07,Fashion,Menswear,2899,0.404,2.84,A,35.79285442528742,7.427536231884058
2096,725,517,1589109.34,848584.3875600001,757309.9739504192,34,Nova Menswear 08,Fashion,Menswear,2380,0.534,1.96,B,47.65625340484244,6.576402321083172
2097,740,530,5488353.15,3199709.8864499996,3106684.4109056923,24,UrbanPeak Menswear 09,Fashion,Menswear,8050,0.583,3.66,A,56.60503845139214,4.528301886792453
2098,816,592,1597402.02,682090.6625399999,579783.771407135,35,Aurelia Menswear 10,Fashion,Menswear,2130,0.427,1.6,B,36.295419947392766,5.912162162162162
2099,816,581,2805162.624,622746.102528,519934.03263573366,43,Vertex Menswear 11,Fashion,Menswear,3729,0.222,2.58,B,18.534898055013215,7.401032702237521
2100,774,548,444338.544,92422.417152,-3829.882040912923,36,Luma Womenswear 01,Fashion,Womenswear,624,0.208,3.77,B,-0.8619288361607726,6.569343065693431
2101,810,559,595109.582,115451.258908,17238.339876639813,32,Nexora Womenswear 02,Fashion,Womenswear,799,0.194,2.23,B,2.896666496060521,5.724508050089446
2102,713,520,2738522.184,955744.242216,863127.7080876151,36,HomeCraft Womenswear 03,Fashion,Womenswear,4152,0.349,3.74,B,31.51801044850017,6.923076923076923
2103,772,563,821871.2390000001,463535.378796,365830.31338125054,32,Stride Womenswear 04,Fashion,Womenswear,1159,0.564,2.05,B,44.51187680279082,5.683836589698046
2104,782,577,2406167.148,786816.657396,684429.5011415369,41,Nova Womenswear 05,Fashion,Womenswear,3332,0.327,3.92,B,28.4448028355151,7.105719237435009
2105,734,538,5000503.239,2170218.405726,2075646.5949254083,50,UrbanPeak Womenswear 06,Fashion,Womenswear,7353,0.434,2.42,B,41.50875413372387,9.293680297397769
2106,816,568,2216075.184,1194464.5241760002,1094639.6438401758,38,Aurelia Womenswear 07,Fashion,Womenswear,2936,0.539,3.0,A,49.395419963340736,6.690140845070423
2107,778,559,1523838.312,635440.576104,538376.9260968271,31,Vertex Womenswear 08,Fashion,Womenswear,2124,0.417,1.84,A,35.33031830589827,5.545617173524151
2108,776,578,1217898.747,649140.032151,548045.4161994852,44,Luma Womenswear 09,Fashion,Womenswear,1703,0.533,3.04,A,44.99925938420275,7.612456747404845
2109,758,528,656795.86,221997.00068000003,127852.99287034612,33,Nexora Womenswear 10,Fashion,Womenswear,940,0.338,1.13,B,19.46616911841468,6.25
2110,707,533,406973.125,191684.34187499998,98321.8070121321,31,HomeCraft Womenswear 11,Fashion,Womenswear,625,0.471,2.72,A,24.159287425215634,5.816135084427767
2111,776,563,1417372.99,411038.16709999996,313591.5815347568,53,Stride Footwear 01,Fashion,Footwear,1991,0.29,3.09,A,22.124845312224892,9.41385435168739
2112,727,530,781022.946,366299.761674,272544.15658598545,36,Nova Footwear 02,Fashion,Footwear,1166,0.469,3.36,C,34.895793776843206,6.7924528301886795
2113,801,574,2123441.388,719846.6305320001,617879.8365539355,45,UrbanPeak Footwear 03,Fashion,Footwear,2868,0.339,2.43,B,29.098040569695048,7.839721254355401
2114,763,550,936846.076,222969.36608799998,128208.95186712778,33,Aurelia Footwear 04,Fashion,Footwear,1327,0.238,2.15,C,13.685167195718474,6.0
2115,773,549,1396353.802,835019.573596,736828.0124699775,32,Vertex Footwear 05,Fashion,Footwear,1954,0.598,3.18,B,52.76800273788903,5.828779599271402
2116,805,569,1167752.92,627083.31804,528310.9929123578,54,Luma Footwear 06,Fashion,Footwear,1565,0.537,2.55,B,45.241676031292464,9.490333919156415
2117,762,572,730160.523,278921.319786,179662.56301418584,37,Nexora Footwear 07,Fashion,Footwear,1041,0.382,1.17,A,24.605899299514146,6.468531468531468
2118,738,546,4234433.346,1668366.738324,1573287.164650647,35,HomeCraft Footwear 08,Fashion,Footwear,6226,0.394,3.51,C,37.154609273442254,6.410256410256411
2119,780,575,720879.169,163639.571363,61395.38538173681,41,Stride Footwear 09,Fashion,Footwear,1003,0.227,1.93,C,8.516737342667868,7.130434782608695
2120,789,583,2509279.512,1415233.6447679999,1312640.619741699,39,Nova Footwear 10,Fashion,Footwear,3452,0.564,1.02,A,52.311454880348094,6.689536878216123
2121,757,529,1495539.045,477076.955355,385005.45343344903,30,UrbanPeak Footwear 11,Fashion,Footwear,2145,0.319,3.33,A,25.743590895913325,5.671077504725898
2122,759,548,2455712.774,466585.42706,372805.64362795313,41,Aurelia Accessories 01,Fashion,Accessories,3511,0.19,1.81,A,15.181158300557552,7.481751824817518
2123,811,567,818999.298,506141.566164,405791.6005609234,40,Vertex Accessories 02,Fashion,Accessories,1098,0.618,2.79,B,49.5472464447611,7.054673721340388
2124,770,545,1851822.584,420363.72656800004,324841.35962489794,40,Luma Accessories 03,Fashion,Accessories,2602,0.227,3.32,A,17.54171066016646,7.339449541284404
2125,825,590,1154124.736,378552.913408,273805.8149352364,36,Nexora Accessories 04,Fashion,Accessories,1516,0.328,3.19,C,23.724109396026012,6.101694915254237
2126,821,599,1447152.432,406649.83339200006,301174.9365041888,58,HomeCraft Accessories 05,Fashion,Accessories,1914,0.281,1.88,B,20.811555841975657,9.68280467445743
2127,756,568,2061895.592,589702.1393119999,489821.38982274145,38,Stride Accessories 06,Fashion,Accessories,2962,0.286,1.78,C,23.75587744225322,6.690140845070423
2128,798,591,1033610.76,393805.69956,289650.24529219605,44,Nova Accessories 07,Fashion,Accessories,1404,0.381,3.01,C,28.02314531750773,7.4450084602368864
2129,762,551,899550.75,550525.059,455446.4643826426,37,UrbanPeak Accessories 08,Fashion,Accessories,1275,0.612,1.47,A,50.63043573502024,6.715063520871143
2130,804,594,3945556.644,1503257.081364,1402225.2635278602,44,Aurelia Accessories 09,Fashion,Accessories,5323,0.381,1.67,B,35.53935198624562,7.407407407407407
2131,745,534,1051603.671,212423.94154200002,120077.86548849307,34,Vertex Accessories 10,Fashion,Accessories,1527,0.202,2.62,B,11.418547576417986,6.367041198501872
2132,800,577,465001.74,248775.9309,148145.92690189622,28,Luma Accessories 11,Fashion,Accessories,630,0.535,3.59,A,31.859219903541916,4.852686308492201
2133,816,579,1307351.232,326837.808,223971.56514597434,38,Nexora Skincare 01,Beauty,Skincare,1744,0.25,1.16,C,17.131705670506022,6.563039723661485
2134,820,598,864098.664,464885.081232,359696.38229921734,33,HomeCraft Skincare 02,Beauty,Skincare,1144,0.538,2.74,C,41.626772182952635,5.518394648829432
2135,737,534,2084351.218,852499.648162,759368.0552934058,34,Stride Skincare 03,Beauty,Skincare,3061,0.409,2.35,B,36.4318666036544,6.367041198501872
2136,796,572,690276.876,314075.97858,214630.94927190515,40,Nova Skincare 04,Beauty,Skincare,942,0.455,1.15,B,31.093457818787652,6.993006993006993
2137,775,568,1278957.889,680405.596948,581797.326204817,37,UrbanPeak Skincare 05,Beauty,Skincare,1789,0.532,3.11,B,45.48995171840385,6.514084507042254
2138,719,521,909163.529,249110.80694600003,156936.56700524184,35,Aurelia Skincare 06,Beauty,Skincare,1373,0.274,1.71,C,17.26164347769848,6.717850287907869
2139,792,574,2817009.115,1270471.110865,1167424.2553421967,37,Vertex Skincare 07,Beauty,Skincare,3865,0.451,2.38,C,41.44197649648701,6.445993031358885
2140,755,557,1816125.437,657437.408194,561263.9980090323,33,Luma Skincare 08,Beauty,Skincare,2611,0.362,1.86,A,30.904473147855168,5.9245960502693
2141,818,585,1620313.765,889552.2569850001,789226.9035493793,40,Nexora Skincare 09,Beauty,Skincare,2149,0.549,3.85,C,48.70827617448398,6.837606837606837
2142,787,553,1048003.613,346889.195903,250368.25711176367,37,HomeCraft Skincare 10,Beauty,Skincare,1451,0.331,2.48,B,23.890018508148373,6.6907775768535265
2143,734,531,1834865.535,966974.136945,873482.7049745542,46,Stride Skincare 11,Beauty,Skincare,2721,0.527,3.33,A,47.60472570403118,8.662900188323917
2144,776,566,742147.164,284984.510976,187344.01221976764,38,Nova Haircare 01,Beauty,Haircare,1038,0.384,2.09,B,25.24351251442196,6.713780918727915
2145,799,560,1578398.791,700809.063204,602100.6143360462,28,UrbanPeak Haircare 02,Beauty,Haircare,2143,0.444,1.15,B,38.14629216451586,5.0
2146,682,497,3808441.044,1058746.610232,973212.0884243847,29,Aurelia Haircare 03,Beauty,Haircare,6066,0.278,3.82,B,25.554080453933494,5.835010060362173
2147,760,539,3919064.176,728945.936736,634752.4475783149,36,Vertex Haircare 04,Beauty,Haircare,5597,0.186,3.55,B,16.196531086821246,6.679035250463822
2148,813,587,587821.59,289796.04387,187072.3675539835,34,Luma Haircare 05,Beauty,Haircare,783,0.493,2.23,A,31.824684689445228,5.792163543441227
2149,766,539,1377668.088,826600.8528,732960.9080377378,35,Nexora Haircare 06,Beauty,Haircare,1944,0.6,3.42,A,53.20301126389579,6.4935064935064934
2150,731,530,647987.368,330473.55768,235527.40979180302,34,HomeCraft Haircare 07,Beauty,Haircare,958,0.51,3.81,B,36.34753105122306,6.415094339622642
2151,788,563,638265.999,346578.437457,247904.48211811858,44,Stride Haircare 08,Beauty,Haircare,881,0.543,2.43,B,38.840308352085444,7.815275310834814
2152,829,582,1528140.0,583749.48,480689.6440187973,40,Nova Haircare 09,Beauty,Haircare,2000,0.382,3.0,B,31.455864254505304,6.8728522336769755
2153,706,521,917407.442,437603.349834,348064.5115931044,40,UrbanPeak Haircare 10,Beauty,Haircare,1414,0.477,2.0,B,37.94001396307665,7.677543186180422
2154,743,547,3878430.926,2121501.7165220003,2026495.0929186174,42,Aurelia Haircare 11,Beauty,Haircare,5671,0.547,1.16,B,52.250385054778654,7.678244972577697
2155,743,540,3711024.024,1076196.9669599999,983443.1769363369,34,Vertex Makeup 01,Beauty,Makeup,5431,0.29,2.39,C,26.50058772393269,6.296296296296297
2156,779,558,364244.01,92517.97854,-2056.781669231078,37,Luma Makeup 02,Beauty,Makeup,507,0.254,3.15,B,-0.5646713776380504,6.630824372759856
2157,810,578,810932.49,436281.67962,336159.29100502655,38,Nexora Makeup 03,Beauty,Makeup,1086,0.538,1.19,B,41.45342493368672,6.57439446366782
2158,776,570,1376040.5760000001,824248.305024,726896.9352257923,40,HomeCraft Makeup 04,Beauty,Makeup,1929,0.599,2.63,B,52.82525442227892,7.017543859649122
2159,771,548,1728069.335,442385.74976000004,346148.89812056156,36,Stride Makeup 05,Beauty,Makeup,2441,0.256,2.47,B,20.030961206806065,6.569343065693431
2160,839,601,2355356.745,1234206.93438,1129214.9277697906,28,Nova Makeup 06,Beauty,Makeup,3051,0.524,2.7,C,47.94241594896023,4.658901830282862
2161,707,529,409241.238,110495.13426,18710.66228698481,38,UrbanPeak Makeup 07,Beauty,Makeup,629,0.27,2.9,B,4.572037358313536,7.183364839319471
2162,713,501,4153813.104,1233682.491888,1144415.4788865696,35,Aurelia Makeup 08,Beauty,Makeup,6328,0.297,2.2,B,27.55096221793251,6.986027944111776
2163,785,568,2509241.196,547014.580728,448158.69027513266,42,Vertex Makeup 09,Beauty,Makeup,3454,0.218,1.18,C,17.860327296935253,7.394366197183099
2164,774,567,1664000.63,687232.26019,589006.202145259,31,Luma Makeup 10,Beauty,Makeup,2329,0.413,2.03,B,35.39699393895416,5.467372134038801
2165,720,528,713682.825,251930.03722499998,157189.05948539995,33,Nexora Makeup 11,Beauty,Makeup,1075,0.353,2.49,B,22.02505846843098,6.25
2166,708,521,1683212.496,902201.897856,812008.2496454325,31,HomeCraft Personal Care 01,Beauty,Personal Care,2576,0.536,1.94,C,48.24157684042244,5.950095969289827
2167,781,563,2002576.86,766986.93738,667154.4080866559,31,Stride Personal Care 02,Beauty,Personal Care,2778,0.383,2.13,C,33.3147966209225,5.506216696269982
2168,754,523,764836.074,141494.67369,49219.9210369059,32,Nova Personal Care 03,Beauty,Personal Care,1101,0.185,3.17,A,6.435355589269172,6.118546845124283
2169,725,533,1989555.28,988808.97416,897583.8628025734,34,UrbanPeak Personal Care 04,Beauty,Personal Care,2980,0.497,3.81,A,45.114798861108966,6.378986866791744
2170,729,536,4964287.41,1424750.4866699998,1330430.5936856796,32,Aurelia Personal Care 05,Beauty,Personal Care,7374,0.287,2.4,B,26.800031581686355,5.970149253731344
2171,769,564,2692049.556,1254495.0930960001,1154320.8422398968,33,Vertex Personal Care 06,Beauty,Personal Care,3823,0.466,2.11,B,42.8788853335617,5.851063829787234
2172,793,560,2715922.692,1151551.221408,1053951.053962091,32,Luma Personal Care 07,Beauty,Personal Care,3717,0.424,1.3,B,38.80637166391373,5.714285714285714
2173,740,546,3597092.53,924452.78021,830764.2050939973,31,Nexora Personal Care 08,Beauty,Personal Care,5251,0.257,1.63,C,23.095436054684903,5.677655677655678
